Serial_number:
2010150
Project ID:
04740001
Location:
Les CÃ¨dres
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/05/09,19:00:00,0,1568.74,9.170
2017/05/09,19:15:00,0,1568.86,9.170
2017/05/09,19:30:00,0,1568.95,9.170
2017/05/09,19:45:00,0,1569.10,9.169
2017/05/09,20:00:00,0,1569.06,9.169
2017/05/09,20:15:00,0,1569.14,9.170
2017/05/09,20:30:00,0,1569.19,9.169
2017/05/09,20:45:00,0,1569.26,9.171
2017/05/09,21:00:00,0,1569.19,9.167
2017/05/09,21:15:00,0,1569.27,9.165
2017/05/09,21:30:00,0,1569.29,9.167
2017/05/09,21:45:00,0,1569.21,9.168
2017/05/09,22:00:00,0,1569.10,9.169
2017/05/09,22:15:00,0,1569.17,9.169
2017/05/09,22:30:00,0,1569.19,9.169
2017/05/09,22:45:00,0,1569.19,9.169
2017/05/09,23:00:00,0,1569.10,9.169
2017/05/09,23:15:00,0,1568.99,9.170
2017/05/09,23:30:00,0,1569.07,9.169
2017/05/09,23:45:00,0,1569.02,9.170
2017/05/10,00:00:00,0,1569.02,9.170
2017/05/10,00:15:00,0,1568.88,9.167
2017/05/10,00:30:00,0,1568.78,9.169
2017/05/10,00:45:00,0,1568.67,9.168
2017/05/10,01:00:00,0,1568.64,9.169
2017/05/10,01:15:00,0,1568.50,9.169
2017/05/10,01:30:00,0,1568.40,9.170
2017/05/10,01:45:00,0,1568.29,9.169
2017/05/10,02:00:00,0,1568.32,9.169
2017/05/10,02:15:00,0,1568.26,9.167
2017/05/10,02:30:00,0,1568.22,9.168
2017/05/10,02:45:00,0,1568.48,9.170
2017/05/10,03:00:00,0,1568.60,9.170
2017/05/10,03:15:00,0,1568.68,9.169
2017/05/10,03:30:00,0,1568.71,9.169
2017/05/10,03:45:00,0,1568.76,9.168
2017/05/10,04:00:00,0,1568.80,9.169
2017/05/10,04:15:00,0,1568.65,9.169
2017/05/10,04:30:00,0,1568.62,9.169
2017/05/10,04:45:00,0,1568.65,9.167
2017/05/10,05:00:00,0,1568.86,9.169
2017/05/10,05:15:00,0,1568.99,9.171
