Serial_number:
2048430
Project ID:
03000001
Location:
St-Anicet_MT
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/05/04,19:00:00,0,1600.14,8.559
2017/05/04,19:15:00,0,1600.11,8.542
2017/05/04,19:30:00,0,1599.99,8.547
2017/05/04,19:45:00,0,1600.33,8.538
2017/05/04,20:00:00,0,1599.91,8.537
2017/05/04,20:15:00,0,1600.14,8.539
2017/05/04,20:30:00,0,1600.18,8.532
2017/05/04,20:45:00,0,1600.13,8.537
2017/05/04,21:00:00,0,1600.19,8.529
2017/05/04,21:15:00,0,1600.38,8.535
2017/05/04,21:30:00,0,1600.38,8.528
2017/05/04,21:45:00,0,1600.45,8.530
2017/05/04,22:00:00,0,1600.22,8.525
2017/05/04,22:15:00,0,1600.61,8.517
2017/05/04,22:30:00,0,1600.62,8.510
2017/05/04,22:45:00,0,1600.41,8.504
2017/05/04,23:00:00,0,1600.07,8.504
2017/05/04,23:15:00,0,1599.70,8.505
2017/05/04,23:30:00,0,1599.51,8.503
2017/05/04,23:45:00,0,1599.19,8.507
2017/05/05,00:00:00,0,1598.88,8.508
2017/05/05,00:15:00,0,1598.52,8.510
2017/05/05,00:30:00,0,1598.28,8.515
2017/05/05,00:45:00,0,1597.92,8.519
2017/05/05,01:00:00,0,1597.96,8.504
2017/05/05,01:15:00,0,1597.83,8.528
2017/05/05,01:30:00,0,1597.37,8.536
2017/05/05,01:45:00,0,1597.09,8.529
2017/05/05,02:00:00,0,1596.98,8.541
2017/05/05,02:15:00,0,1596.63,8.538
2017/05/05,02:30:00,0,1596.23,8.544
2017/05/05,02:45:00,0,1595.86,8.535
2017/05/05,03:00:00,0,1595.67,8.542
2017/05/05,03:15:00,0,1595.64,8.544
2017/05/05,03:30:00,0,1595.27,8.545
2017/05/05,03:45:00,0,1595.08,8.530
2017/05/05,04:00:00,0,1594.90,8.527
2017/05/05,04:15:00,0,1594.75,8.526
2017/05/05,04:30:00,0,1594.61,8.520
2017/05/05,04:45:00,0,1594.33,8.518
2017/05/05,05:00:00,0,1594.09,8.513
2017/05/05,05:15:00,0,1593.86,8.515
2017/05/05,05:30:00,0,1593.76,8.512
2017/05/05,05:45:00,0,1593.54,8.516
2017/05/05,06:00:00,0,1593.41,8.514
2017/05/05,06:15:00,0,1593.36,8.531
2017/05/05,06:30:00,0,1593.31,8.536
2017/05/05,06:45:00,0,1593.31,8.542
2017/05/05,07:00:00,0,1593.40,8.535
2017/05/05,07:15:00,0,1593.36,8.522
2017/05/05,07:30:00,0,1593.29,8.516
2017/05/05,07:45:00,0,1593.28,8.533
2017/05/05,08:00:00,0,1593.31,8.513
2017/05/05,08:15:00,0,1593.40,8.505
2017/05/05,08:30:00,0,1593.51,8.481
2017/05/05,08:45:00,0,1593.55,8.431
2017/05/05,09:00:00,0,1593.65,8.411
2017/05/05,09:15:00,0,1593.75,8.415
2017/05/05,09:30:00,0,1593.97,8.422
2017/05/05,09:45:00,0,1593.99,8.418
2017/05/05,10:00:00,0,1594.21,8.430
2017/05/05,10:15:00,0,1594.36,8.407
2017/05/05,10:30:00,0,1594.49,8.407
2017/05/05,10:45:00,0,1594.53,8.413
2017/05/05,11:00:00,0,1594.49,8.442
2017/05/05,11:15:00,0,1594.59,8.405
2017/05/05,11:30:00,0,1594.66,8.406
2017/05/05,11:45:00,0,1594.67,8.408
2017/05/05,12:00:00,0,1594.73,8.422
2017/05/05,12:15:00,0,1594.76,8.407
2017/05/05,12:30:00,0,1594.77,8.407
2017/05/05,12:45:00,0,1594.74,8.405
2017/05/05,13:00:00,0,1594.78,8.405
2017/05/05,13:15:00,0,1594.87,8.408
2017/05/05,13:30:00,0,1594.83,8.417
2017/05/05,13:45:00,0,1595.04,8.443
2017/05/05,14:00:00,0,1595.26,8.396
2017/05/05,14:15:00,0,1595.40,8.398
2017/05/05,14:30:00,0,1595.23,8.399
2017/05/05,14:45:00,0,1594.93,8.410
2017/05/05,15:00:00,0,1594.78,8.412
2017/05/05,15:15:00,0,1594.92,8.447
2017/05/05,15:30:00,0,1594.82,8.416
2017/05/05,15:45:00,0,1594.80,8.507
2017/05/05,16:00:00,0,1594.65,8.609
2017/05/05,16:15:00,0,1595.36,8.571
2017/05/05,16:30:00,0,1595.66,8.516
2017/05/05,16:45:00,0,1595.59,8.512
2017/05/05,17:00:00,0,1596.17,8.507
2017/05/05,17:15:00,0,1596.84,8.511
2017/05/05,17:30:00,0,1596.76,8.488
2017/05/05,17:45:00,0,1597.10,8.471
2017/05/05,18:00:00,0,1597.18,8.466
2017/05/05,18:15:00,0,1597.25,8.467
2017/05/05,18:30:00,0,1597.45,8.465
2017/05/05,18:45:00,0,1597.89,8.465
2017/05/05,19:00:00,0,1598.17,8.465
2017/05/05,19:15:00,0,1598.39,8.463
2017/05/05,19:30:00,0,1598.74,8.463
2017/05/05,19:45:00,0,1599.17,8.459
2017/05/05,20:00:00,0,1599.45,8.459
2017/05/05,20:15:00,0,1599.60,8.458
2017/05/05,20:30:00,0,1600.02,8.455
2017/05/05,20:45:00,0,1600.14,8.453
2017/05/05,21:00:00,0,1600.31,8.454
2017/05/05,21:15:00,0,1600.76,8.450
2017/05/05,21:30:00,0,1601.10,8.445
2017/05/05,21:45:00,0,1601.40,8.444
2017/05/05,22:00:00,0,1601.44,8.445
2017/05/05,22:15:00,0,1601.75,8.444
