Serial_number:
2048458
Project ID:
03090001
Location:
Mercier
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/12/02,19:00:00,0,1212.72,12.597
2016/12/02,19:15:00,0,1212.76,12.599
2016/12/02,19:30:00,0,1212.82,12.601
2016/12/02,19:45:00,0,1212.95,12.601
2016/12/02,20:00:00,0,1213.07,12.602
2016/12/02,20:15:00,0,1213.11,12.601
2016/12/02,20:30:00,0,1213.08,12.586
2016/12/02,20:45:00,0,1213.09,12.581
2016/12/02,21:00:00,0,1213.09,12.580
2016/12/02,21:15:00,0,1213.15,12.584
2016/12/02,21:30:00,0,1213.30,12.582
2016/12/02,21:45:00,0,1213.23,12.583
2016/12/02,22:00:00,0,1213.44,12.586
2016/12/02,22:15:00,0,1213.46,12.583
2016/12/02,22:30:00,0,1213.53,12.584
2016/12/02,22:45:00,0,1213.64,12.584
2016/12/02,23:00:00,0,1213.82,12.587
2016/12/02,23:15:00,0,1213.95,12.585
2016/12/02,23:30:00,0,1213.99,12.588
2016/12/02,23:45:00,0,1214.08,12.587
2016/12/03,00:00:00,0,1214.11,12.590
2016/12/03,00:15:00,0,1214.17,12.584
2016/12/03,00:30:00,0,1214.28,12.583
2016/12/03,00:45:00,0,1214.40,12.583
2016/12/03,01:00:00,0,1214.61,12.582
2016/12/03,01:15:00,0,1214.75,12.581
2016/12/03,01:30:00,0,1214.98,12.585
2016/12/03,01:45:00,0,1215.21,12.587
2016/12/03,02:00:00,0,1215.45,12.587
2016/12/03,02:15:00,0,1215.64,12.586
2016/12/03,02:30:00,0,1215.90,12.587
2016/12/03,02:45:00,0,1216.10,12.586
2016/12/03,03:00:00,0,1216.16,12.570
2016/12/03,03:15:00,0,1216.24,12.574
2016/12/03,03:30:00,0,1216.22,12.595
2016/12/03,03:45:00,0,1216.26,12.621
2016/12/03,04:00:00,0,1216.49,12.613
2016/12/03,04:15:00,0,1216.59,12.590
2016/12/03,04:30:00,0,1216.83,12.563
2016/12/03,04:45:00,0,1217.09,12.562
2016/12/03,05:00:00,0,1217.32,12.561
2016/12/03,05:15:00,0,1217.54,12.562
2016/12/03,05:30:00,0,1217.83,12.558
2016/12/03,05:45:00,0,1217.83,12.560
2016/12/03,06:00:00,0,1218.02,12.561
2016/12/03,06:15:00,0,1218.29,12.560
2016/12/03,06:30:00,0,1218.46,12.560
2016/12/03,06:45:00,0,1218.67,12.559
2016/12/03,07:00:00,0,1218.94,12.559
2016/12/03,07:15:00,0,1219.14,12.558
2016/12/03,07:30:00,0,1219.33,12.555
2016/12/03,07:45:00,0,1219.57,12.555
2016/12/03,08:00:00,0,1219.83,12.559
2016/12/03,08:15:00,0,1219.87,12.607
2016/12/03,08:30:00,0,1219.91,12.620
2016/12/03,08:45:00,0,1220.08,12.624
2016/12/03,09:00:00,0,1220.25,12.623
2016/12/03,09:15:00,0,1220.46,12.633
2016/12/03,09:30:00,0,1220.60,12.634
2016/12/03,09:45:00,0,1220.76,12.637
2016/12/03,10:00:00,0,1221.01,12.640
2016/12/03,10:15:00,0,1221.11,12.637
2016/12/03,10:30:00,0,1221.14,12.632
2016/12/03,10:45:00,0,1221.20,12.626
2016/12/03,11:00:00,0,1221.17,12.625
2016/12/03,11:15:00,0,1221.14,12.626
2016/12/03,11:30:00,0,1221.16,12.627
2016/12/03,11:45:00,0,1221.28,12.627
2016/12/03,12:00:00,0,1221.31,12.625
2016/12/03,12:15:00,0,1221.32,12.623
2016/12/03,12:30:00,0,1221.35,12.624
2016/12/03,12:45:00,0,1221.32,12.619
2016/12/03,13:00:00,0,1221.46,12.622
2016/12/03,13:15:00,0,1221.41,12.623
2016/12/03,13:30:00,0,1221.56,12.622
2016/12/03,13:45:00,0,1221.48,12.622
2016/12/03,14:00:00,0,1221.66,12.621
2016/12/03,14:15:00,0,1221.81,12.562
2016/12/03,14:30:00,0,1222.12,12.542
2016/12/03,14:45:00,0,1222.37,12.565
2016/12/03,15:00:00,0,1222.64,12.603
2016/12/03,15:15:00,0,1222.81,12.586
2016/12/03,15:30:00,0,1222.96,12.551
2016/12/03,15:45:00,0,1223.12,12.549
2016/12/03,16:00:00,0,1223.30,12.541
2016/12/03,16:15:00,0,1223.52,12.537
2016/12/03,16:30:00,0,1223.84,12.540
2016/12/03,16:45:00,0,1223.99,12.541
2016/12/03,17:00:00,0,1224.14,12.538
2016/12/03,17:15:00,0,1224.34,12.539
2016/12/03,17:30:00,0,1224.68,12.540
2016/12/03,17:45:00,0,1224.93,12.545
2016/12/03,18:00:00,0,1225.17,12.515
2016/12/03,18:15:00,0,1225.30,12.517
2016/12/03,18:30:00,0,1225.46,12.540
2016/12/03,18:45:00,0,1225.67,12.594
2016/12/03,19:00:00,0,1225.86,12.560
2016/12/03,19:15:00,0,1225.90,12.576
2016/12/03,19:30:00,0,1226.04,12.583
2016/12/03,19:45:00,0,1226.15,12.587
2016/12/03,20:00:00,0,1226.18,12.589
2016/12/03,20:15:00,0,1226.26,12.596
2016/12/03,20:30:00,0,1226.31,12.597
2016/12/03,20:45:00,0,1226.39,12.600
2016/12/03,21:00:00,0,1226.41,12.599
2016/12/03,21:15:00,0,1226.44,12.595
2016/12/03,21:30:00,0,1226.70,12.596
2016/12/03,21:45:00,0,1226.69,12.593
2016/12/03,22:00:00,0,1226.68,12.597
2016/12/03,22:15:00,0,1226.79,12.602
2016/12/03,22:30:00,0,1226.96,12.599
2016/12/03,22:45:00,0,1227.04,12.602
2016/12/03,23:00:00,0,1227.17,12.595
2016/12/03,23:15:00,0,1227.22,12.603
2016/12/03,23:30:00,0,1227.23,12.605
2016/12/03,23:45:00,0,1227.34,12.604
2016/12/04,00:00:00,0,1227.29,12.595
2016/12/04,00:15:00,0,1227.38,12.595
2016/12/04,00:30:00,0,1227.39,12.595
2016/12/04,00:45:00,0,1227.46,12.599
2016/12/04,01:00:00,0,1227.44,12.598
2016/12/04,01:15:00,0,1227.57,12.595
2016/12/04,01:30:00,0,1227.74,12.600
2016/12/04,01:45:00,0,1227.90,12.600
2016/12/04,02:00:00,0,1228.01,12.596
2016/12/04,02:15:00,0,1228.09,12.595
