Serial_number:
2048458
Project ID:
04647001
Location:
SainteAnne
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/05/10,13:00:00,0,1768.79,8.125
2017/05/10,13:15:00,0,1768.89,8.126
2017/05/10,13:30:00,0,1768.93,8.126
2017/05/10,13:45:00,0,1768.91,8.126
2017/05/10,14:00:00,0,1768.91,8.125
2017/05/10,14:15:00,0,1769.04,8.125
2017/05/10,14:30:00,0,1769.16,8.126
2017/05/10,14:45:00,0,1768.97,8.125
2017/05/10,15:00:00,0,1769.09,8.126
2017/05/10,15:15:00,0,1769.15,8.126
2017/05/10,15:30:00,0,1769.18,8.126
2017/05/10,15:45:00,0,1769.19,8.125
2017/05/10,16:00:00,0,1769.27,8.125
2017/05/10,16:15:00,0,1769.51,8.125
2017/05/10,16:30:00,0,1769.69,8.126
2017/05/10,16:45:00,0,1769.81,8.125
2017/05/10,17:00:00,0,1769.82,8.125
2017/05/10,17:15:00,0,1769.97,8.126
2017/05/10,17:30:00,0,1770.02,8.125
2017/05/10,17:45:00,0,1769.98,8.125
2017/05/10,18:00:00,0,1770.03,8.125
2017/05/10,18:15:00,0,1770.18,8.126
2017/05/10,18:30:00,0,1770.27,8.126
2017/05/10,18:45:00,0,1769.66,8.125
2017/05/10,19:00:00,0,1768.84,8.125
2017/05/10,19:15:00,0,1768.36,8.126
2017/05/10,19:30:00,0,1768.27,8.126
2017/05/10,19:45:00,0,1768.40,8.125
2017/05/10,20:00:00,0,1768.54,8.126
2017/05/10,20:15:00,0,1768.78,8.126
2017/05/10,20:30:00,0,1768.89,8.126
2017/05/10,20:45:00,0,1769.06,8.125
2017/05/10,21:00:00,0,1769.18,8.126
2017/05/10,21:15:00,0,1769.38,8.126
2017/05/10,21:30:00,0,1769.53,8.126
2017/05/10,21:45:00,0,1769.66,8.125
2017/05/10,22:00:00,0,1769.80,8.125
2017/05/10,22:15:00,0,1769.71,8.125
2017/05/10,22:30:00,0,1769.03,8.126
2017/05/10,22:45:00,0,1768.29,8.126
2017/05/10,23:00:00,0,1767.85,8.126
2017/05/10,23:15:00,0,1767.81,8.126
