Serial_number:
2048465
Project ID:
03090008
Location:
Havelock
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/05/04,13:00:00,0,1539.58,8.275
2017/05/04,13:15:00,0,1539.59,8.274
2017/05/04,13:30:00,0,1539.43,8.274
2017/05/04,13:45:00,0,1539.43,8.274
2017/05/04,14:00:00,0,1539.35,8.274
2017/05/04,14:15:00,0,1539.39,8.274
2017/05/04,14:30:00,0,1539.27,8.274
2017/05/04,14:45:00,0,1539.18,8.274
2017/05/04,15:00:00,0,1539.16,8.275
2017/05/04,15:15:00,0,1539.16,8.274
2017/05/04,15:30:00,0,1539.11,8.274
2017/05/04,15:45:00,0,1539.06,8.274
2017/05/04,16:00:00,0,1539.05,8.274
2017/05/04,16:15:00,0,1538.88,8.274
2017/05/04,16:30:00,0,1538.81,8.274
2017/05/04,16:45:00,0,1538.72,8.274
2017/05/04,17:00:00,0,1538.78,8.273
2017/05/04,17:15:00,0,1538.87,8.274
2017/05/04,17:30:00,0,1538.92,8.274
2017/05/04,17:45:00,0,1538.95,8.273
2017/05/04,18:00:00,0,1538.97,8.274
2017/05/04,18:15:00,0,1538.88,8.274
2017/05/04,18:30:00,0,1538.92,8.273
2017/05/04,18:45:00,0,1538.97,8.273
2017/05/04,19:00:00,0,1539.04,8.273
2017/05/04,19:15:00,0,1538.92,8.274
2017/05/04,19:30:00,0,1539.05,8.274
2017/05/04,19:45:00,0,1539.16,8.274
2017/05/04,20:00:00,0,1539.28,8.273
2017/05/04,20:15:00,0,1539.28,8.273
2017/05/04,20:30:00,0,1539.35,8.274
2017/05/04,20:45:00,0,1539.33,8.274
2017/05/04,21:00:00,0,1539.39,8.273
2017/05/04,21:15:00,0,1539.43,8.273
2017/05/04,21:30:00,0,1539.42,8.274
2017/05/04,21:45:00,0,1539.37,8.274
2017/05/04,22:00:00,0,1539.43,8.273
2017/05/04,22:15:00,0,1539.50,8.274
2017/05/04,22:30:00,0,1539.53,8.274
2017/05/04,22:45:00,0,1539.64,8.274
2017/05/04,23:00:00,0,1539.64,8.273
2017/05/04,23:15:00,0,1539.46,8.273
2017/05/04,23:30:00,0,1539.46,8.273
2017/05/04,23:45:00,0,1539.38,8.272
2017/05/05,00:00:00,0,1539.23,8.274
