Serial_number:
2048472
Project ID:
03090005
Location:
Franklin_MT
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/05/04,13:00:00,0,1605.23,8.033
2017/05/04,13:15:00,0,1605.08,7.953
2017/05/04,13:30:00,0,1604.78,7.975
2017/05/04,13:45:00,0,1604.36,7.966
2017/05/04,14:00:00,0,1604.23,7.983
2017/05/04,14:15:00,0,1604.05,7.995
2017/05/04,14:30:00,0,1603.78,8.025
2017/05/04,14:45:00,0,1603.52,8.023
2017/05/04,15:00:00,0,1603.48,8.029
2017/05/04,15:15:00,0,1603.36,8.025
2017/05/04,15:30:00,0,1603.18,8.078
2017/05/04,15:45:00,0,1602.97,8.095
2017/05/04,16:00:00,0,1602.83,8.081
2017/05/04,16:15:00,0,1602.53,8.077
2017/05/04,16:30:00,0,1602.37,8.060
2017/05/04,16:45:00,0,1602.00,8.079
2017/05/04,17:00:00,0,1601.85,8.082
2017/05/04,17:15:00,0,1601.86,8.109
2017/05/04,17:30:00,0,1601.85,8.115
2017/05/04,17:45:00,0,1601.84,8.120
2017/05/04,18:00:00,0,1601.78,8.131
2017/05/04,18:15:00,0,1601.65,8.109
2017/05/04,18:30:00,0,1601.50,8.080
2017/05/04,18:45:00,0,1601.48,8.117
2017/05/04,19:00:00,0,1601.58,8.118
2017/05/04,19:15:00,0,1601.43,8.100
2017/05/04,19:30:00,0,1601.39,8.036
2017/05/04,19:45:00,0,1601.46,7.991
2017/05/04,20:00:00,0,1601.83,7.986
2017/05/04,20:15:00,0,1601.83,8.080
2017/05/04,20:30:00,0,1601.86,8.070
2017/05/04,20:45:00,0,1601.98,8.083
2017/05/04,21:00:00,0,1601.89,8.086
2017/05/04,21:15:00,0,1601.92,8.073
2017/05/04,21:30:00,0,1601.93,8.066
2017/05/04,21:45:00,0,1601.87,8.106
2017/05/04,22:00:00,0,1601.94,8.099
2017/05/04,22:15:00,0,1602.21,8.119
2017/05/04,22:30:00,0,1602.07,8.105
2017/05/04,22:45:00,0,1602.05,8.111
2017/05/04,23:00:00,0,1602.14,8.084
2017/05/04,23:15:00,0,1601.93,8.105
2017/05/04,23:30:00,0,1601.83,8.114
2017/05/04,23:45:00,0,1601.79,8.104
2017/05/05,00:00:00,0,1601.49,8.113
2017/05/05,00:15:00,0,1601.26,8.109
2017/05/05,00:30:00,0,1600.75,8.118
2017/05/05,00:45:00,0,1600.52,8.134
2017/05/05,01:00:00,0,1600.41,8.132
2017/05/05,01:15:00,0,1600.53,8.113
2017/05/05,01:30:00,0,1600.31,8.107
2017/05/05,01:45:00,0,1599.98,8.101
2017/05/05,02:00:00,0,1599.59,8.081
2017/05/05,02:15:00,0,1599.44,8.111
2017/05/05,02:30:00,0,1599.12,8.092
2017/05/05,02:45:00,0,1599.00,8.074
2017/05/05,03:00:00,0,1598.78,8.067
2017/05/05,03:15:00,0,1598.71,8.009
2017/05/05,03:30:00,0,1598.60,8.039
2017/05/05,03:45:00,0,1598.31,8.091
2017/05/05,04:00:00,0,1598.16,8.086
2017/05/05,04:15:00,0,1598.08,8.061
2017/05/05,04:30:00,0,1597.80,8.064
2017/05/05,04:45:00,0,1597.67,8.111
2017/05/05,05:00:00,0,1597.47,8.110
2017/05/05,05:15:00,0,1597.24,8.093
2017/05/05,05:30:00,0,1597.17,8.124
2017/05/05,05:45:00,0,1596.99,8.138
2017/05/05,06:00:00,0,1596.95,8.122
2017/05/05,06:15:00,0,1596.69,8.117
2017/05/05,06:30:00,0,1596.64,8.108
2017/05/05,06:45:00,0,1596.66,8.102
2017/05/05,07:00:00,0,1596.65,8.076
2017/05/05,07:15:00,0,1596.49,8.111
2017/05/05,07:30:00,0,1596.23,8.109
2017/05/05,07:45:00,0,1596.26,8.098
2017/05/05,08:00:00,0,1596.11,8.088
2017/05/05,08:15:00,0,1596.05,8.067
2017/05/05,08:30:00,0,1596.02,8.058
2017/05/05,08:45:00,0,1596.08,8.059
2017/05/05,09:00:00,0,1596.05,8.120
2017/05/05,09:15:00,0,1595.97,8.113
2017/05/05,09:30:00,0,1595.98,8.139
2017/05/05,09:45:00,0,1595.77,8.142
2017/05/05,10:00:00,0,1595.73,8.161
2017/05/05,10:15:00,0,1595.60,8.148
2017/05/05,10:30:00,0,1595.38,8.134
2017/05/05,10:45:00,0,1595.40,8.138
2017/05/05,11:00:00,0,1595.23,8.104
2017/05/05,11:15:00,0,1595.18,8.088
2017/05/05,11:30:00,0,1595.21,8.076
2017/05/05,11:45:00,0,1595.10,8.067
2017/05/05,12:00:00,0,1595.04,8.075
2017/05/05,12:15:00,0,1594.79,8.074
2017/05/05,12:30:00,0,1594.68,8.110
2017/05/05,12:45:00,0,1594.56,8.106
2017/05/05,13:00:00,0,1594.44,8.112
2017/05/05,13:15:00,0,1594.19,8.132
2017/05/05,13:30:00,0,1594.27,8.107
2017/05/05,13:45:00,0,1593.81,8.087
2017/05/05,14:00:00,0,1593.67,8.078
2017/05/05,14:15:00,0,1593.47,8.055
2017/05/05,14:30:00,0,1593.37,8.124
2017/05/05,14:45:00,0,1592.73,8.108
2017/05/05,15:00:00,0,1592.42,8.119
2017/05/05,15:15:00,0,1592.22,8.116
2017/05/05,15:30:00,0,1592.31,8.077
2017/05/05,15:45:00,0,1592.16,8.073
2017/05/05,16:00:00,0,1591.93,8.061
2017/05/05,16:15:00,0,1591.66,8.043
2017/05/05,16:30:00,0,1591.77,8.005
2017/05/05,16:45:00,0,1591.71,8.153
2017/05/05,17:00:00,0,1591.19,8.109
2017/05/05,17:15:00,0,1591.05,8.111
2017/05/05,17:30:00,0,1591.69,8.121
2017/05/05,17:45:00,0,1591.50,8.098
2017/05/05,18:00:00,0,1591.64,8.122
2017/05/05,18:15:00,0,1591.17,8.128
2017/05/05,18:30:00,0,1591.30,8.122
2017/05/05,18:45:00,0,1591.32,8.112
2017/05/05,19:00:00,0,1591.02,8.114
2017/05/05,19:15:00,0,1590.51,8.123
2017/05/05,19:30:00,0,1590.70,8.115
2017/05/05,19:45:00,0,1590.60,8.113
2017/05/05,20:00:00,0,1590.70,8.104
2017/05/05,20:15:00,0,1590.56,8.121
2017/05/05,20:30:00,0,1590.83,8.125
2017/05/05,20:45:00,0,1590.58,8.102
2017/05/05,21:00:00,0,1590.45,8.123
2017/05/05,21:15:00,0,1590.13,8.090
2017/05/05,21:30:00,0,1590.08,8.041
2017/05/05,21:45:00,0,1589.99,8.026
2017/05/05,22:00:00,0,1589.85,8.041
2017/05/05,22:15:00,0,1589.92,8.088
2017/05/05,22:30:00,0,1590.00,8.024
2017/05/05,22:45:00,0,1590.23,8.004
2017/05/05,23:00:00,0,1590.03,7.978
2017/05/05,23:15:00,0,1590.14,7.969
2017/05/05,23:30:00,0,1589.95,8.011
2017/05/05,23:45:00,0,1589.67,7.976
2017/05/06,00:00:00,0,1590.08,8.024
2017/05/06,00:15:00,0,1590.07,8.037
2017/05/06,00:30:00,0,1590.13,8.128
2017/05/06,00:45:00,0,1589.89,8.131
2017/05/06,01:00:00,0,1589.76,8.151
2017/05/06,01:15:00,0,1589.70,8.155
2017/05/06,01:30:00,0,1589.99,8.152
2017/05/06,01:45:00,0,1589.75,8.131
2017/05/06,02:00:00,0,1589.51,8.091
2017/05/06,02:15:00,0,1589.56,8.102
2017/05/06,02:30:00,0,1589.39,8.098
2017/05/06,02:45:00,0,1589.92,8.099
2017/05/06,03:00:00,0,1589.55,8.104
2017/05/06,03:15:00,0,1589.54,8.116
2017/05/06,03:30:00,0,1589.78,8.102
2017/05/06,03:45:00,0,1590.10,8.106
2017/05/06,04:00:00,0,1589.58,8.118
2017/05/06,04:15:00,0,1589.43,8.120
2017/05/06,04:30:00,0,1589.38,8.109
2017/05/06,04:45:00,0,1589.31,8.105
2017/05/06,05:00:00,0,1589.23,8.119
2017/05/06,05:15:00,0,1589.13,8.136
2017/05/06,05:30:00,0,1589.18,8.125
2017/05/06,05:45:00,0,1589.15,8.110
2017/05/06,06:00:00,0,1589.37,8.103
2017/05/06,06:15:00,0,1589.42,8.082
2017/05/06,06:30:00,0,1589.43,8.077
2017/05/06,06:45:00,0,1589.08,8.064
2017/05/06,07:00:00,0,1589.27,8.088
2017/05/06,07:15:00,0,1589.19,8.115
2017/05/06,07:30:00,0,1588.79,8.115
2017/05/06,07:45:00,0,1588.57,8.135
2017/05/06,08:00:00,0,1588.55,8.130
2017/05/06,08:15:00,0,1588.64,8.108
2017/05/06,08:30:00,0,1588.98,8.107
2017/05/06,08:45:00,0,1589.09,8.112
2017/05/06,09:00:00,0,1589.10,8.102
2017/05/06,09:15:00,0,1589.36,8.126
2017/05/06,09:30:00,0,1589.32,8.099
2017/05/06,09:45:00,0,1589.15,8.066
2017/05/06,10:00:00,0,1589.25,8.069
2017/05/06,10:15:00,0,1589.07,8.097
2017/05/06,10:30:00,0,1588.48,8.121
2017/05/06,10:45:00,0,1588.73,8.078
2017/05/06,11:00:00,0,1588.72,8.052
2017/05/06,11:15:00,0,1588.51,8.022
2017/05/06,11:30:00,0,1588.69,7.965
2017/05/06,11:45:00,0,1588.30,8.079
2017/05/06,12:00:00,0,1588.34,8.073
2017/05/06,12:15:00,0,1588.06,8.112
2017/05/06,12:30:00,0,1588.06,8.108
2017/05/06,12:45:00,0,1587.87,8.143
2017/05/06,13:00:00,0,1587.84,8.149
2017/05/06,13:15:00,0,1587.67,8.132
2017/05/06,13:30:00,0,1587.44,8.114
2017/05/06,13:45:00,0,1587.47,8.069
2017/05/06,14:00:00,0,1587.23,8.064
2017/05/06,14:15:00,0,1586.69,8.082
2017/05/06,14:30:00,0,1586.66,8.084
2017/05/06,14:45:00,0,1586.61,8.109
2017/05/06,15:00:00,0,1586.41,8.111
2017/05/06,15:15:00,0,1586.43,8.107
2017/05/06,15:30:00,0,1586.68,8.098
2017/05/06,15:45:00,0,1586.51,8.087
2017/05/06,16:00:00,0,1586.49,8.083
2017/05/06,16:15:00,0,1586.22,8.091
2017/05/06,16:30:00,0,1586.13,8.110
2017/05/06,16:45:00,0,1585.95,8.128
2017/05/06,17:00:00,0,1586.24,8.122
2017/05/06,17:15:00,0,1586.14,8.103
2017/05/06,17:30:00,0,1586.17,8.092
2017/05/06,17:45:00,0,1586.24,8.099
2017/05/06,18:00:00,0,1586.27,8.096
2017/05/06,18:15:00,0,1586.55,8.086
2017/05/06,18:30:00,0,1586.82,8.085
2017/05/06,18:45:00,0,1587.16,8.073
2017/05/06,19:00:00,0,1587.72,8.030
2017/05/06,19:15:00,0,1587.95,7.959
2017/05/06,19:30:00,0,1588.16,8.072
2017/05/06,19:45:00,0,1588.25,8.016
2017/05/06,20:00:00,0,1588.27,7.950
2017/05/06,20:15:00,0,1588.40,7.956
2017/05/06,20:30:00,0,1588.62,7.934
2017/05/06,20:45:00,0,1588.85,8.023
2017/05/06,21:00:00,0,1589.16,8.064
2017/05/06,21:15:00,0,1589.08,8.032
2017/05/06,21:30:00,0,1589.08,8.042
2017/05/06,21:45:00,0,1589.00,8.111
2017/05/06,22:00:00,0,1589.15,8.110
2017/05/06,22:15:00,0,1589.13,8.124
2017/05/06,22:30:00,0,1589.19,8.113
2017/05/06,22:45:00,0,1589.38,8.087
2017/05/06,23:00:00,0,1589.45,8.117
2017/05/06,23:15:00,0,1589.49,8.113
2017/05/06,23:30:00,0,1589.43,8.089
2017/05/06,23:45:00,0,1589.27,8.103
2017/05/07,00:00:00,0,1589.24,8.093
2017/05/07,00:15:00,0,1589.50,8.099
2017/05/07,00:30:00,0,1589.58,8.098
2017/05/07,00:45:00,0,1589.49,8.103
2017/05/07,01:00:00,0,1589.50,8.094
2017/05/07,01:15:00,0,1589.48,8.096
2017/05/07,01:30:00,0,1589.40,8.096
2017/05/07,01:45:00,0,1589.48,8.118
2017/05/07,02:00:00,0,1589.51,8.138
2017/05/07,02:15:00,0,1589.65,8.122
2017/05/07,02:30:00,0,1589.72,8.121
2017/05/07,02:45:00,0,1589.80,8.100
2017/05/07,03:00:00,0,1589.91,8.105
2017/05/07,03:15:00,0,1589.88,8.083
2017/05/07,03:30:00,0,1590.05,8.078
2017/05/07,03:45:00,0,1590.18,8.115
2017/05/07,04:00:00,0,1590.32,8.109
2017/05/07,04:15:00,0,1590.25,8.082
2017/05/07,04:30:00,0,1590.42,8.079
2017/05/07,04:45:00,0,1590.49,8.039
2017/05/07,05:00:00,0,1590.60,8.026
2017/05/07,05:15:00,0,1590.61,7.971
2017/05/07,05:30:00,0,1590.86,8.050
2017/05/07,05:45:00,0,1591.08,8.050
2017/05/07,06:00:00,0,1591.39,8.097
2017/05/07,06:15:00,0,1591.62,8.100
2017/05/07,06:30:00,0,1591.89,8.113
2017/05/07,06:45:00,0,1592.29,8.095
2017/05/07,07:00:00,0,1592.54,8.067
2017/05/07,07:15:00,0,1592.89,8.062
2017/05/07,07:30:00,0,1593.11,8.035
2017/05/07,07:45:00,0,1593.40,8.101
2017/05/07,08:00:00,0,1593.80,8.094
2017/05/07,08:15:00,0,1594.26,8.072
2017/05/07,08:30:00,0,1594.72,8.062
2017/05/07,08:45:00,0,1595.01,8.046
2017/05/07,09:00:00,0,1595.42,8.088
2017/05/07,09:15:00,0,1595.71,8.123
2017/05/07,09:30:00,0,1595.91,8.092
2017/05/07,09:45:00,0,1596.15,8.080
2017/05/07,10:00:00,0,1596.42,8.087
2017/05/07,10:15:00,0,1596.81,8.076
2017/05/07,10:30:00,0,1597.26,8.080
2017/05/07,10:45:00,0,1597.56,8.040
2017/05/07,11:00:00,0,1597.75,8.068
2017/05/07,11:15:00,0,1598.19,8.068
2017/05/07,11:30:00,0,1598.48,8.060
2017/05/07,11:45:00,0,1598.73,8.075
2017/05/07,12:00:00,0,1599.02,8.073
2017/05/07,12:15:00,0,1599.29,8.018
2017/05/07,12:30:00,0,1599.64,8.038
2017/05/07,12:45:00,0,1599.93,8.039
2017/05/07,13:00:00,0,1600.18,8.028
2017/05/07,13:15:00,0,1600.41,8.074
2017/05/07,13:30:00,0,1600.62,8.049
2017/05/07,13:45:00,0,1600.73,8.080
2017/05/07,14:00:00,0,1600.99,8.081
2017/05/07,14:15:00,0,1601.03,8.088
2017/05/07,14:30:00,0,1601.37,8.084
2017/05/07,14:45:00,0,1601.47,8.063
2017/05/07,15:00:00,0,1601.59,8.062
2017/05/07,15:15:00,0,1601.80,8.031
2017/05/07,15:30:00,0,1602.27,8.043
2017/05/07,15:45:00,0,1602.45,8.091
2017/05/07,16:00:00,0,1602.66,8.100
2017/05/07,16:15:00,0,1602.94,8.097
2017/05/07,16:30:00,0,1603.18,8.091
2017/05/07,16:45:00,0,1603.41,8.092
2017/05/07,17:00:00,0,1603.49,8.105
2017/05/07,17:15:00,0,1604.01,8.069
2017/05/07,17:30:00,0,1604.22,8.098
2017/05/07,17:45:00,0,1604.32,8.110
2017/05/07,18:00:00,0,1604.42,8.088
2017/05/07,18:15:00,0,1604.55,8.120
2017/05/07,18:30:00,0,1604.67,8.128
2017/05/07,18:45:00,0,1604.94,8.130
2017/05/07,19:00:00,0,1605.25,8.082
2017/05/07,19:15:00,0,1605.54,8.031
2017/05/07,19:30:00,0,1605.80,8.062
2017/05/07,19:45:00,0,1605.95,8.074
2017/05/07,20:00:00,0,1605.87,8.067
2017/05/07,20:15:00,0,1605.86,8.052
2017/05/07,20:30:00,0,1606.04,8.067
2017/05/07,20:45:00,0,1606.14,8.044
2017/05/07,21:00:00,0,1606.22,8.042
2017/05/07,21:15:00,0,1606.16,8.080
2017/05/07,21:30:00,0,1606.26,8.087
2017/05/07,21:45:00,0,1606.53,8.098
2017/05/07,22:00:00,0,1606.59,8.087
2017/05/07,22:15:00,0,1606.51,8.118
2017/05/07,22:30:00,0,1606.59,8.103
2017/05/07,22:45:00,0,1606.58,8.119
2017/05/07,23:00:00,0,1606.68,8.136
2017/05/07,23:15:00,0,1606.72,8.135
2017/05/07,23:30:00,0,1606.70,8.138
2017/05/07,23:45:00,0,1606.78,8.128
2017/05/08,00:00:00,0,1606.81,8.084
2017/05/08,00:15:00,0,1606.86,8.080
2017/05/08,00:30:00,0,1607.00,8.054
2017/05/08,00:45:00,0,1606.91,8.070
2017/05/08,01:00:00,0,1606.94,8.085
2017/05/08,01:15:00,0,1606.95,8.063
2017/05/08,01:30:00,0,1606.93,8.037
2017/05/08,01:45:00,0,1606.89,8.086
2017/05/08,02:00:00,0,1606.67,8.064
2017/05/08,02:15:00,0,1606.68,8.095
2017/05/08,02:30:00,0,1606.78,8.083
2017/05/08,02:45:00,0,1606.71,8.092
2017/05/08,03:00:00,0,1606.56,8.039
2017/05/08,03:15:00,0,1606.73,8.044
2017/05/08,03:30:00,0,1606.74,8.049
2017/05/08,03:45:00,0,1606.89,8.061
2017/05/08,04:00:00,0,1606.85,8.079
2017/05/08,04:15:00,0,1606.83,8.100
2017/05/08,04:30:00,0,1606.74,8.114
2017/05/08,04:45:00,0,1606.87,8.083
2017/05/08,05:00:00,0,1607.04,8.084
2017/05/08,05:15:00,0,1607.06,8.106
2017/05/08,05:30:00,0,1607.19,8.105
2017/05/08,05:45:00,0,1607.32,8.114
2017/05/08,06:00:00,0,1607.48,8.087
2017/05/08,06:15:00,0,1607.47,8.077
