Serial_number:
2048474
Project ID:
03090013
Location:
Ste-Clotilde_Roc
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/05/03,19:00:00,0,1633.16,7.630
2017/05/03,19:15:00,0,1633.21,7.625
2017/05/03,19:30:00,0,1633.28,7.572
2017/05/03,19:45:00,0,1633.26,7.584
2017/05/03,20:00:00,0,1633.42,7.659
2017/05/03,20:15:00,0,1633.66,7.565
2017/05/03,20:30:00,0,1634.05,7.578
2017/05/03,20:45:00,0,1634.16,7.571
2017/05/03,21:00:00,0,1634.35,7.583
2017/05/03,21:15:00,0,1634.76,7.578
2017/05/03,21:30:00,0,1635.06,7.577
2017/05/03,21:45:00,0,1635.38,7.627
2017/05/03,22:00:00,0,1635.48,7.606
2017/05/03,22:15:00,0,1635.79,7.561
2017/05/03,22:30:00,0,1636.17,7.606
2017/05/03,22:45:00,0,1636.47,7.576
2017/05/03,23:00:00,0,1636.75,7.599
2017/05/03,23:15:00,0,1636.96,7.557
2017/05/03,23:30:00,0,1637.00,7.617
2017/05/03,23:45:00,0,1637.26,7.664
2017/05/04,00:00:00,0,1637.43,7.603
2017/05/04,00:15:00,0,1637.74,7.641
2017/05/04,00:30:00,0,1637.88,7.613
2017/05/04,00:45:00,0,1637.85,7.509
2017/05/04,01:00:00,0,1638.08,7.578
2017/05/04,01:15:00,0,1638.22,7.544
2017/05/04,01:30:00,0,1638.26,7.602
2017/05/04,01:45:00,0,1638.52,7.561
2017/05/04,02:00:00,0,1638.48,7.540
2017/05/04,02:15:00,0,1638.69,7.620
2017/05/04,02:30:00,0,1638.77,7.568
2017/05/04,02:45:00,0,1638.79,7.593
2017/05/04,03:00:00,0,1638.60,7.617
2017/05/04,03:15:00,0,1638.60,7.668
2017/05/04,03:30:00,0,1638.61,7.599
2017/05/04,03:45:00,0,1638.58,7.585
2017/05/04,04:00:00,0,1638.42,7.656
2017/05/04,04:15:00,0,1638.43,7.592
2017/05/04,04:30:00,0,1638.57,7.606
2017/05/04,04:45:00,0,1638.52,7.519
