Serial_number:
2071184
Project ID:
03090001
Location:
Mercier_Lebeau
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/05/05,19:00:00,0,1240.70,5.225
2017/05/05,19:15:00,0,1240.61,5.235
2017/05/05,19:30:00,0,1240.57,5.286
2017/05/05,19:45:00,0,1240.53,5.341
2017/05/05,20:00:00,0,1240.32,5.365
2017/05/05,20:15:00,0,1240.51,5.392
2017/05/05,20:30:00,0,1240.37,5.386
2017/05/05,20:45:00,0,1240.31,5.404
2017/05/05,21:00:00,0,1240.05,5.406
2017/05/05,21:15:00,0,1239.96,5.428
2017/05/05,21:30:00,0,1239.80,5.439
2017/05/05,21:45:00,0,1239.65,5.439
2017/05/05,22:00:00,0,1239.56,5.435
2017/05/05,22:15:00,0,1239.36,5.454
2017/05/05,22:30:00,0,1239.29,5.452
2017/05/05,22:45:00,0,1239.32,5.466
2017/05/05,23:00:00,0,1239.13,5.469
2017/05/05,23:15:00,0,1239.12,5.488
2017/05/05,23:30:00,0,1238.97,5.488
2017/05/05,23:45:00,0,1238.88,5.480
2017/05/06,00:00:00,0,1238.83,5.483
2017/05/06,00:15:00,0,1238.92,5.511
2017/05/06,00:30:00,0,1238.90,5.539
2017/05/06,00:45:00,0,1238.82,5.541
2017/05/06,01:00:00,0,1238.66,5.513
2017/05/06,01:15:00,0,1238.55,5.542
2017/05/06,01:30:00,0,1238.51,5.626
2017/05/06,01:45:00,0,1238.38,5.610
2017/05/06,02:00:00,0,1238.16,5.577
2017/05/06,02:15:00,0,1238.24,5.629
2017/05/06,02:30:00,0,1238.06,5.617
2017/05/06,02:45:00,0,1237.68,5.605
2017/05/06,03:00:00,0,1238.11,5.678
2017/05/06,03:15:00,0,1237.54,5.695
2017/05/06,03:30:00,0,1237.68,5.718
2017/05/06,03:45:00,0,1237.58,5.723
2017/05/06,04:00:00,0,1237.43,5.716
2017/05/06,04:15:00,0,1237.26,5.734
2017/05/06,04:30:00,0,1237.25,5.771
2017/05/06,04:45:00,0,1237.13,5.789
2017/05/06,05:00:00,0,1237.05,5.785
2017/05/06,05:15:00,0,1236.85,5.778
2017/05/06,05:30:00,0,1236.87,5.780
2017/05/06,05:45:00,0,1236.73,5.784
2017/05/06,06:00:00,0,1236.59,5.800
2017/05/06,06:15:00,0,1236.65,5.815
2017/05/06,06:30:00,0,1236.54,5.815
2017/05/06,06:45:00,0,1236.49,5.806
2017/05/06,07:00:00,0,1236.32,5.815
2017/05/06,07:15:00,0,1236.28,5.826
2017/05/06,07:30:00,0,1235.96,5.824
2017/05/06,07:45:00,0,1235.75,5.823
2017/05/06,08:00:00,0,1235.58,5.837
2017/05/06,08:15:00,0,1235.65,5.847
2017/05/06,08:30:00,0,1235.66,5.834
2017/05/06,08:45:00,0,1235.48,5.839
2017/05/06,09:00:00,0,1235.67,5.838
2017/05/06,09:15:00,0,1235.50,5.845
2017/05/06,09:30:00,0,1235.33,5.809
2017/05/06,09:45:00,0,1235.30,5.796
2017/05/06,10:00:00,0,1235.24,5.793
2017/05/06,10:15:00,0,1235.17,5.761
2017/05/06,10:30:00,0,1234.75,5.727
2017/05/06,10:45:00,0,1234.66,5.772
2017/05/06,11:00:00,0,1234.72,5.745
2017/05/06,11:15:00,0,1234.72,5.777
2017/05/06,11:30:00,0,1234.51,5.743
2017/05/06,11:45:00,0,1234.24,5.718
2017/05/06,12:00:00,0,1234.16,5.693
2017/05/06,12:15:00,0,1234.09,5.661
2017/05/06,12:30:00,0,1233.88,5.639
2017/05/06,12:45:00,0,1233.74,5.623
2017/05/06,13:00:00,0,1233.64,5.589
2017/05/06,13:15:00,0,1233.49,5.489
2017/05/06,13:30:00,0,1232.95,5.318
2017/05/06,13:45:00,0,1232.62,5.280
2017/05/06,14:00:00,0,1232.11,5.282
2017/05/06,14:15:00,0,1232.14,5.309
2017/05/06,14:30:00,0,1231.58,5.216
2017/05/06,14:45:00,0,1231.60,5.285
2017/05/06,15:00:00,0,1231.47,5.303
2017/05/06,15:15:00,0,1231.30,5.285
2017/05/06,15:30:00,0,1231.49,5.379
2017/05/06,15:45:00,0,1231.12,5.388
2017/05/06,16:00:00,0,1230.87,5.368
2017/05/06,16:15:00,0,1230.77,5.350
2017/05/06,16:30:00,0,1230.69,5.410
2017/05/06,16:45:00,0,1230.60,5.391
2017/05/06,17:00:00,0,1230.44,5.361
2017/05/06,17:15:00,0,1230.46,5.305
2017/05/06,17:30:00,0,1230.05,5.224
2017/05/06,17:45:00,0,1229.87,5.165
2017/05/06,18:00:00,0,1229.69,5.167
2017/05/06,18:15:00,0,1229.91,5.208
2017/05/06,18:30:00,0,1229.94,5.225
2017/05/06,18:45:00,0,1230.12,5.226
2017/05/06,19:00:00,0,1230.39,5.234
2017/05/06,19:15:00,0,1231.05,5.277
2017/05/06,19:30:00,0,1231.13,5.268
2017/05/06,19:45:00,0,1231.09,5.259
2017/05/06,20:00:00,0,1231.35,5.286
2017/05/06,20:15:00,0,1233.24,5.298
2017/05/06,20:30:00,0,1233.18,5.263
2017/05/06,20:45:00,0,1233.18,5.227
2017/05/06,21:00:00,0,1233.23,5.197
2017/05/06,21:15:00,0,1233.27,5.217
2017/05/06,21:30:00,0,1233.18,5.209
2017/05/06,21:45:00,0,1233.26,5.222
2017/05/06,22:00:00,0,1233.16,5.237
2017/05/06,22:15:00,0,1233.14,5.245
2017/05/06,22:30:00,0,1233.25,5.226
2017/05/06,22:45:00,0,1233.20,5.236
