Serial Number
	45217
Project ID
	03090012
Location
	Ste-Clotilde_MT
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		1000.00   cm
	Altitude
		55        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-12-01,13:00:00,0,665.7,9.45
2,2016-12-01,13:15:00,0,664.7,9.47
3,2016-12-01,13:30:00,0,664.3,9.47
4,2016-12-01,13:45:00,0,664.5,9.47
5,2016-12-01,14:00:00,0,664.1,9.47
6,2016-12-01,14:15:00,0,664.4,9.45
7,2016-12-01,14:30:00,0,664.1,9.47
8,2016-12-01,14:45:00,0,664.3,9.47
9,2016-12-01,15:00:00,0,664.5,9.47
10,2016-12-01,15:15:00,0,664.5,9.47
11,2016-12-01,15:30:00,0,664.7,9.48
12,2016-12-01,15:45:00,0,664.8,9.47
13,2016-12-01,16:00:00,0,664.8,9.49
14,2016-12-01,16:15:00,0,665.2,9.49
15,2016-12-01,16:30:00,0,665.2,9.48
16,2016-12-01,16:45:00,0,665.5,9.49
17,2016-12-01,17:00:00,0,666.4,9.47
18,2016-12-01,17:15:00,0,666.1,9.47
19,2016-12-01,17:30:00,0,666.1,9.48
20,2016-12-01,17:45:00,0,666.8,9.48
21,2016-12-01,18:00:00,0,665.7,9.47
22,2016-12-01,18:15:00,0,666.3,9.47
23,2016-12-01,18:30:00,0,666.1,9.47
24,2016-12-01,18:45:00,0,666.1,9.47
25,2016-12-01,19:00:00,0,666.8,9.44
26,2016-12-01,19:15:00,0,666.5,9.47
27,2016-12-01,19:30:00,0,666.8,9.45
28,2016-12-01,19:45:00,0,666.9,9.45
29,2016-12-01,20:00:00,0,667.1,9.47
30,2016-12-01,20:15:00,0,667.3,9.45
31,2016-12-01,20:30:00,0,667.2,9.47
32,2016-12-01,20:45:00,0,667.5,9.47
33,2016-12-01,21:00:00,0,667.9,9.45
34,2016-12-01,21:15:00,0,667.5,9.48
35,2016-12-01,21:30:00,0,667.6,9.47
36,2016-12-01,21:45:00,0,667.7,9.45
37,2016-12-01,22:00:00,0,667.6,9.47
38,2016-12-01,22:15:00,0,666.9,9.47
39,2016-12-01,22:30:00,0,668.0,9.47
40,2016-12-01,22:45:00,0,667.6,9.48
41,2016-12-01,23:00:00,0,668.0,9.48
42,2016-12-01,23:15:00,0,667.7,9.48
43,2016-12-01,23:30:00,0,667.7,9.48
44,2016-12-01,23:45:00,0,667.6,9.48
45,2016-12-02,00:00:00,0,668.1,9.48
46,2016-12-02,00:15:00,0,668.1,9.47
47,2016-12-02,00:30:00,0,668.3,9.48
48,2016-12-02,00:45:00,0,668.1,9.47
49,2016-12-02,01:00:00,0,668.5,9.48
50,2016-12-02,01:15:00,0,668.7,9.48
51,2016-12-02,01:30:00,0,668.8,9.47
52,2016-12-02,01:45:00,0,669.1,9.47
53,2016-12-02,02:00:00,0,668.8,9.50
54,2016-12-02,02:15:00,0,669.6,9.47
55,2016-12-02,02:30:00,0,669.6,9.49
56,2016-12-02,02:45:00,0,669.7,9.48
57,2016-12-02,03:00:00,0,669.3,9.48
58,2016-12-02,03:15:00,0,669.6,9.50
59,2016-12-02,03:30:00,0,669.7,9.50
60,2016-12-02,03:45:00,0,669.2,9.49
61,2016-12-02,04:00:00,0,669.6,9.49
62,2016-12-02,04:15:00,0,669.7,9.50
63,2016-12-02,04:30:00,0,669.9,9.49
64,2016-12-02,04:45:00,0,670.4,9.49
65,2016-12-02,05:00:00,0,670.1,9.50
66,2016-12-02,05:15:00,0,670.4,9.49
67,2016-12-02,05:30:00,0,670.5,9.50
68,2016-12-02,05:45:00,0,670.0,9.50
69,2016-12-02,06:00:00,0,670.5,9.48
70,2016-12-02,06:15:00,0,670.3,9.48
71,2016-12-02,06:30:00,0,670.5,9.50
72,2016-12-02,06:45:00,0,670.7,9.49
73,2016-12-02,07:00:00,0,670.9,9.50
74,2016-12-02,07:15:00,0,671.1,9.47
75,2016-12-02,07:30:00,0,670.8,9.48
76,2016-12-02,07:45:00,0,671.3,9.48
77,2016-12-02,08:00:00,0,671.3,9.45
78,2016-12-02,08:15:00,0,671.5,9.47
79,2016-12-02,08:30:00,0,670.9,9.50
80,2016-12-02,08:45:00,0,671.6,9.47
81,2016-12-02,09:00:00,0,670.9,9.48
82,2016-12-02,09:15:00,0,671.3,9.51
83,2016-12-02,09:30:00,0,671.1,9.51
84,2016-12-02,09:45:00,0,671.6,9.50
85,2016-12-02,10:00:00,0,670.7,9.50
86,2016-12-02,10:15:00,0,671.2,9.49
87,2016-12-02,10:30:00,0,671.5,9.47
88,2016-12-02,10:45:00,0,670.7,9.47
89,2016-12-02,11:00:00,0,670.9,9.49
90,2016-12-02,11:15:00,0,671.2,9.49
91,2016-12-02,11:30:00,0,671.1,9.49
92,2016-12-02,11:45:00,0,670.7,9.49
93,2016-12-02,12:00:00,0,671.3,9.45
