Serial Number
	45231
Project ID
	03090010
Location
	Godmanchester_MT
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		1000.00   cm
	Altitude
		75        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-04,19:00:00,0,625.6,8.90
2,2017-05-04,19:15:00,0,623.5,8.91
3,2017-05-04,19:30:00,0,623.5,8.90
4,2017-05-04,19:45:00,0,623.5,8.92
5,2017-05-04,20:00:00,0,624.3,8.90
6,2017-05-04,20:15:00,0,623.7,8.93
7,2017-05-04,20:30:00,0,624.3,8.93
8,2017-05-04,20:45:00,0,624.3,8.92
9,2017-05-04,21:00:00,0,624.1,8.94
10,2017-05-04,21:15:00,0,624.0,8.91
11,2017-05-04,21:30:00,0,623.3,8.93
12,2017-05-04,21:45:00,0,623.7,8.94
13,2017-05-04,22:00:00,0,624.5,8.91
14,2017-05-04,22:15:00,0,625.1,8.91
15,2017-05-04,22:30:00,0,624.8,8.91
16,2017-05-04,22:45:00,0,624.7,8.93
17,2017-05-04,23:00:00,0,624.3,8.93
18,2017-05-04,23:15:00,0,623.2,8.93
19,2017-05-04,23:30:00,0,623.3,8.93
20,2017-05-04,23:45:00,0,623.3,8.93
21,2017-05-05,00:00:00,0,622.9,8.93
22,2017-05-05,00:15:00,0,622.4,8.93
23,2017-05-05,00:30:00,0,622.5,8.93
24,2017-05-05,00:45:00,0,622.4,8.94
25,2017-05-05,01:00:00,0,622.4,8.93
26,2017-05-05,01:15:00,0,621.6,8.93
27,2017-05-05,01:30:00,0,621.7,8.93
28,2017-05-05,01:45:00,0,621.5,8.93
29,2017-05-05,02:00:00,0,620.9,8.94
30,2017-05-05,02:15:00,0,620.7,8.93
31,2017-05-05,02:30:00,0,620.1,8.93
32,2017-05-05,02:45:00,0,619.7,8.93
33,2017-05-05,03:00:00,0,619.6,8.91
34,2017-05-05,03:15:00,0,620.1,8.93
35,2017-05-05,03:30:00,0,619.5,8.93
36,2017-05-05,03:45:00,0,620.0,8.93
37,2017-05-05,04:00:00,0,619.3,8.91
38,2017-05-05,04:15:00,0,618.5,8.91
39,2017-05-05,04:30:00,0,618.5,8.93
40,2017-05-05,04:45:00,0,618.7,8.91
41,2017-05-05,05:00:00,0,618.7,8.94
42,2017-05-05,05:15:00,0,618.8,8.93
43,2017-05-05,05:30:00,0,617.5,8.93
44,2017-05-05,05:45:00,0,618.1,8.91
45,2017-05-05,06:00:00,0,617.6,8.94
46,2017-05-05,06:15:00,0,617.3,8.94
47,2017-05-05,06:30:00,0,617.1,8.96
48,2017-05-05,06:45:00,0,617.1,8.94
49,2017-05-05,07:00:00,0,617.3,8.94
50,2017-05-05,07:15:00,0,616.9,8.94
51,2017-05-05,07:30:00,0,616.5,8.93
52,2017-05-05,07:45:00,0,616.5,8.95
53,2017-05-05,08:00:00,0,616.1,8.94
54,2017-05-05,08:15:00,0,617.1,8.94
55,2017-05-05,08:30:00,0,616.8,8.93
56,2017-05-05,08:45:00,0,616.5,8.94
57,2017-05-05,09:00:00,0,616.1,8.95
58,2017-05-05,09:15:00,0,616.1,8.94
59,2017-05-05,09:30:00,0,616.4,8.94
60,2017-05-05,09:45:00,0,616.0,8.95
61,2017-05-05,10:00:00,0,616.1,8.93
62,2017-05-05,10:15:00,0,616.1,8.93
63,2017-05-05,10:30:00,0,615.6,8.93
64,2017-05-05,10:45:00,0,615.6,8.93
65,2017-05-05,11:00:00,0,614.5,8.93
66,2017-05-05,11:15:00,0,615.1,8.93
67,2017-05-05,11:30:00,0,614.3,8.95
68,2017-05-05,11:45:00,0,614.0,8.95
69,2017-05-05,12:00:00,0,613.9,8.95
70,2017-05-05,12:15:00,0,614.0,8.94
71,2017-05-05,12:30:00,0,613.6,8.93
72,2017-05-05,12:45:00,0,612.5,8.93
73,2017-05-05,13:00:00,0,612.4,8.94
74,2017-05-05,13:15:00,0,612.3,8.95
75,2017-05-05,13:30:00,0,611.9,8.96
76,2017-05-05,13:45:00,0,611.5,8.94
77,2017-05-05,14:00:00,0,611.6,8.93
78,2017-05-05,14:15:00,0,610.9,8.94
79,2017-05-05,14:30:00,0,610.7,8.93
80,2017-05-05,14:45:00,0,609.9,8.95
81,2017-05-05,15:00:00,0,609.3,8.95
82,2017-05-05,15:15:00,0,609.1,8.95
83,2017-05-05,15:30:00,0,608.8,8.93
84,2017-05-05,15:45:00,0,608.3,8.94
85,2017-05-05,16:00:00,0,608.3,8.94
86,2017-05-05,16:15:00,0,608.3,8.95
87,2017-05-05,16:30:00,0,609.1,8.94
88,2017-05-05,16:45:00,0,607.6,8.94
89,2017-05-05,17:00:00,0,608.0,8.94
90,2017-05-05,17:15:00,0,608.0,8.93
91,2017-05-05,17:30:00,0,607.7,8.94
92,2017-05-05,17:45:00,0,607.2,8.93
93,2017-05-05,18:00:00,0,606.9,8.93
94,2017-05-05,18:15:00,0,606.4,8.94
95,2017-05-05,18:30:00,0,606.0,8.91
96,2017-05-05,18:45:00,0,606.7,8.93
97,2017-05-05,19:00:00,0,606.9,8.94
98,2017-05-05,19:15:00,0,605.9,8.93
99,2017-05-05,19:30:00,0,605.7,8.93
100,2017-05-05,19:45:00,0,605.7,8.93
101,2017-05-05,20:00:00,0,605.3,8.93
102,2017-05-05,20:15:00,0,605.9,8.94
103,2017-05-05,20:30:00,0,605.3,8.93
104,2017-05-05,20:45:00,0,605.2,8.91
105,2017-05-05,21:00:00,0,605.5,8.93
106,2017-05-05,21:15:00,0,604.9,8.93
107,2017-05-05,21:30:00,0,605.5,8.93
108,2017-05-05,21:45:00,0,604.9,8.93
109,2017-05-05,22:00:00,0,604.5,8.93
110,2017-05-05,22:15:00,0,604.5,8.93
111,2017-05-05,22:30:00,0,604.4,8.95
112,2017-05-05,22:45:00,0,604.0,8.94
113,2017-05-05,23:00:00,0,604.0,8.93
114,2017-05-05,23:15:00,0,604.4,8.94
115,2017-05-05,23:30:00,0,604.0,8.93
116,2017-05-05,23:45:00,0,603.5,8.93
117,2017-05-06,00:00:00,0,603.7,8.93
118,2017-05-06,00:15:00,0,603.9,8.93
119,2017-05-06,00:30:00,0,603.6,8.93
120,2017-05-06,00:45:00,0,603.2,8.93
121,2017-05-06,01:00:00,0,602.7,8.93
122,2017-05-06,01:15:00,0,603.1,8.93
123,2017-05-06,01:30:00,0,602.8,8.94
124,2017-05-06,01:45:00,0,602.7,8.93
125,2017-05-06,02:00:00,0,602.1,8.91
126,2017-05-06,02:15:00,0,602.1,8.93
127,2017-05-06,02:30:00,0,601.7,8.93
128,2017-05-06,02:45:00,0,602.5,8.94
129,2017-05-06,03:00:00,0,601.2,8.94
130,2017-05-06,03:15:00,0,601.5,8.94
131,2017-05-06,03:30:00,0,601.2,8.94
132,2017-05-06,03:45:00,0,600.5,8.93
133,2017-05-06,04:00:00,0,600.7,8.95
134,2017-05-06,04:15:00,0,601.2,8.93
135,2017-05-06,04:30:00,0,600.9,8.94
136,2017-05-06,04:45:00,0,600.5,8.93
137,2017-05-06,05:00:00,0,600.3,8.96
138,2017-05-06,05:15:00,0,599.9,8.94
139,2017-05-06,05:30:00,0,600.4,8.93
140,2017-05-06,05:45:00,0,600.1,8.93
141,2017-05-06,06:00:00,0,600.3,8.95
142,2017-05-06,06:15:00,0,599.5,8.95
143,2017-05-06,06:30:00,0,599.7,8.91
144,2017-05-06,06:45:00,0,599.7,8.94
145,2017-05-06,07:00:00,0,599.3,8.93
146,2017-05-06,07:15:00,0,599.3,8.95
147,2017-05-06,07:30:00,0,599.2,8.95
148,2017-05-06,07:45:00,0,599.3,8.96
149,2017-05-06,08:00:00,0,599.2,8.95
150,2017-05-06,08:15:00,0,598.9,8.95
