Serial Number
	4802
Project ID
	03090021
Location
	P-19_MERCIER
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		1000.00   cm
	Altitude
		30        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-05,19:00:00,0,764.4,8.45
2,2017-05-05,19:15:00,0,764.4,8.44
3,2017-05-05,19:30:00,0,764.4,8.45
4,2017-05-05,19:45:00,0,764.6,8.45
5,2017-05-05,20:00:00,0,764.4,8.44
6,2017-05-05,20:15:00,0,765.0,8.44
7,2017-05-05,20:30:00,0,765.2,8.44
8,2017-05-05,20:45:00,0,765.8,8.43
9,2017-05-05,21:00:00,0,765.4,8.45
10,2017-05-05,21:15:00,0,765.4,8.42
11,2017-05-05,21:30:00,0,765.2,8.43
12,2017-05-05,21:45:00,0,765.2,8.42
13,2017-05-05,22:00:00,0,765.8,8.47
14,2017-05-05,22:15:00,0,765.4,8.43
15,2017-05-05,22:30:00,0,765.8,8.45
16,2017-05-05,22:45:00,0,766.0,8.42
17,2017-05-05,23:00:00,0,766.4,8.44
18,2017-05-05,23:15:00,0,766.4,8.44
19,2017-05-05,23:30:00,0,766.6,8.44
20,2017-05-05,23:45:00,0,766.6,8.45
21,2017-05-06,00:00:00,0,766.6,8.42
22,2017-05-06,00:15:00,0,767.0,8.44
23,2017-05-06,00:30:00,0,767.0,8.44
24,2017-05-06,00:45:00,0,767.2,8.45
25,2017-05-06,01:00:00,0,767.2,8.44
26,2017-05-06,01:15:00,0,767.2,8.45
27,2017-05-06,01:30:00,0,767.4,8.44
28,2017-05-06,01:45:00,0,767.4,8.44
29,2017-05-06,02:00:00,0,767.4,8.45
30,2017-05-06,02:15:00,0,767.4,8.42
31,2017-05-06,02:30:00,0,767.4,8.42
32,2017-05-06,02:45:00,0,767.0,8.40
33,2017-05-06,03:00:00,0,767.4,8.42
34,2017-05-06,03:15:00,0,767.2,8.45
35,2017-05-06,03:30:00,0,767.4,8.45
36,2017-05-06,03:45:00,0,767.8,8.42
37,2017-05-06,04:00:00,0,767.8,8.44
38,2017-05-06,04:15:00,0,767.6,8.45
39,2017-05-06,04:30:00,0,767.8,8.45
40,2017-05-06,04:45:00,0,767.8,8.45
41,2017-05-06,05:00:00,0,768.2,8.44
42,2017-05-06,05:15:00,0,767.8,8.42
43,2017-05-06,05:30:00,0,768.2,8.45
44,2017-05-06,05:45:00,0,768.0,8.45
45,2017-05-06,06:00:00,0,768.2,8.45
46,2017-05-06,06:15:00,0,768.2,8.44
47,2017-05-06,06:30:00,0,768.6,8.44
48,2017-05-06,06:45:00,0,768.6,8.46
49,2017-05-06,07:00:00,0,768.4,8.44
50,2017-05-06,07:15:00,0,768.8,8.44
51,2017-05-06,07:30:00,0,768.6,8.41
52,2017-05-06,07:45:00,0,768.0,8.45
53,2017-05-06,08:00:00,0,767.8,8.43
54,2017-05-06,08:15:00,0,768.2,8.45
55,2017-05-06,08:30:00,0,768.8,8.45
56,2017-05-06,08:45:00,0,768.4,8.45
57,2017-05-06,09:00:00,0,769.0,8.41
58,2017-05-06,09:15:00,0,768.8,8.40
59,2017-05-06,09:30:00,0,768.6,8.42
60,2017-05-06,09:45:00,0,768.4,8.44
61,2017-05-06,10:00:00,0,768.6,8.44
62,2017-05-06,10:15:00,0,768.8,8.46
63,2017-05-06,10:30:00,0,768.4,8.45
64,2017-05-06,10:45:00,0,767.8,8.42
65,2017-05-06,11:00:00,0,768.4,8.43
66,2017-05-06,11:15:00,0,768.4,8.44
67,2017-05-06,11:30:00,0,768.2,8.44
68,2017-05-06,11:45:00,0,768.4,8.44
69,2017-05-06,12:00:00,0,768.2,8.42
70,2017-05-06,12:15:00,0,768.4,8.42
71,2017-05-06,12:30:00,0,768.2,8.42
72,2017-05-06,12:45:00,0,768.0,8.44
73,2017-05-06,13:00:00,0,768.4,8.45
74,2017-05-06,13:15:00,0,768.6,8.42
75,2017-05-06,13:30:00,0,768.2,8.44
76,2017-05-06,13:45:00,0,767.8,8.44
77,2017-05-06,14:00:00,0,767.4,8.44
78,2017-05-06,14:15:00,0,767.4,8.40
79,2017-05-06,14:30:00,0,767.0,8.40
80,2017-05-06,14:45:00,0,766.8,8.42
81,2017-05-06,15:00:00,0,766.6,8.40
82,2017-05-06,15:15:00,0,766.6,8.41
83,2017-05-06,15:30:00,0,766.6,8.45
84,2017-05-06,15:45:00,0,766.0,8.38
85,2017-05-06,16:00:00,0,766.0,8.44
86,2017-05-06,16:15:00,0,766.0,8.43
87,2017-05-06,16:30:00,0,765.8,8.44
88,2017-05-06,16:45:00,0,765.8,8.44
89,2017-05-06,17:00:00,0,765.8,8.42
90,2017-05-06,17:15:00,0,766.2,8.42
91,2017-05-06,17:30:00,0,766.0,8.45
92,2017-05-06,17:45:00,0,766.2,8.45
93,2017-05-06,18:00:00,0,765.8,8.44
94,2017-05-06,18:15:00,0,766.2,8.45
95,2017-05-06,18:30:00,0,766.6,8.45
96,2017-05-06,18:45:00,0,766.8,8.43
97,2017-05-06,19:00:00,0,767.4,8.45
98,2017-05-06,19:15:00,0,768.0,8.42
99,2017-05-06,19:30:00,0,768.2,8.44
100,2017-05-06,19:45:00,0,768.0,8.44
101,2017-05-06,20:00:00,0,768.8,8.45
102,2017-05-06,20:15:00,0,769.0,8.40
103,2017-05-06,20:30:00,0,769.0,8.40
104,2017-05-06,20:45:00,0,769.0,8.45
105,2017-05-06,21:00:00,0,769.4,8.42
106,2017-05-06,21:15:00,0,769.2,8.44
107,2017-05-06,21:30:00,0,769.2,8.41
108,2017-05-06,21:45:00,0,769.2,8.45
109,2017-05-06,22:00:00,0,769.0,8.45
110,2017-05-06,22:15:00,0,769.0,8.44
111,2017-05-06,22:30:00,0,769.6,8.44
112,2017-05-06,22:45:00,0,769.4,8.44
113,2017-05-06,23:00:00,0,769.2,8.45
114,2017-05-06,23:15:00,0,769.4,8.45
115,2017-05-06,23:30:00,0,769.6,8.42
116,2017-05-06,23:45:00,0,769.0,8.44
117,2017-05-07,00:00:00,0,769.4,8.43
118,2017-05-07,00:15:00,0,769.2,8.45
119,2017-05-07,00:30:00,0,769.2,8.45
120,2017-05-07,00:45:00,0,769.2,8.45
121,2017-05-07,01:00:00,0,768.8,8.44
122,2017-05-07,01:15:00,0,768.8,8.45
123,2017-05-07,01:30:00,0,768.6,8.47
124,2017-05-07,01:45:00,0,768.8,8.46
125,2017-05-07,02:00:00,0,768.8,8.44
126,2017-05-07,02:15:00,0,768.6,8.41
127,2017-05-07,02:30:00,0,768.4,8.44
128,2017-05-07,02:45:00,0,768.8,8.42
129,2017-05-07,03:00:00,0,768.6,8.44
130,2017-05-07,03:15:00,0,768.8,8.44
131,2017-05-07,03:30:00,0,768.6,8.45
132,2017-05-07,03:45:00,0,768.6,8.44
133,2017-05-07,04:00:00,0,768.8,8.45
134,2017-05-07,04:15:00,0,769.0,8.45
135,2017-05-07,04:30:00,0,768.8,8.44
136,2017-05-07,04:45:00,0,769.2,8.45
137,2017-05-07,05:00:00,0,769.2,8.45
138,2017-05-07,05:15:00,0,769.2,8.42
139,2017-05-07,05:30:00,0,769.6,8.42
140,2017-05-07,05:45:00,0,770.0,8.45
141,2017-05-07,06:00:00,0,769.8,8.45
142,2017-05-07,06:15:00,0,770.4,8.44
143,2017-05-07,06:30:00,0,770.4,8.44
144,2017-05-07,06:45:00,0,770.4,8.44
145,2017-05-07,07:00:00,0,770.8,8.44
146,2017-05-07,07:15:00,0,771.2,8.45
147,2017-05-07,07:30:00,0,771.2,8.45
148,2017-05-07,07:45:00,0,772.0,8.44
149,2017-05-07,08:00:00,0,772.0,8.42
150,2017-05-07,08:15:00,0,772.2,8.39
151,2017-05-07,08:30:00,0,772.4,8.45
152,2017-05-07,08:45:00,0,772.6,8.42
153,2017-05-07,09:00:00,0,773.0,8.45
154,2017-05-07,09:15:00,0,773.6,8.42
155,2017-05-07,09:30:00,0,773.6,8.44
156,2017-05-07,09:45:00,0,774.2,8.45
157,2017-05-07,10:00:00,0,774.2,8.43
158,2017-05-07,10:15:00,0,774.4,8.45
159,2017-05-07,10:30:00,0,775.0,8.44
160,2017-05-07,10:45:00,0,775.6,8.45
161,2017-05-07,11:00:00,0,775.8,8.39
162,2017-05-07,11:15:00,0,776.2,8.45
163,2017-05-07,11:30:00,0,776.4,8.45
164,2017-05-07,11:45:00,0,776.6,8.43
165,2017-05-07,12:00:00,0,776.6,8.43
166,2017-05-07,12:15:00,0,777.2,8.45
