Serial Number
	4815
Project ID
	03097191
Location
	03097191_Ste-Martine
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		1000.00   cm
	Altitude
		39        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-05,19:00:00,0,739.6,7.50
2,2017-05-05,19:15:00,0,739.0,7.50
3,2017-05-05,19:30:00,0,738.8,7.48
4,2017-05-05,19:45:00,0,738.2,7.48
5,2017-05-05,20:00:00,0,738.2,7.50
6,2017-05-05,20:15:00,0,738.4,7.48
7,2017-05-05,20:30:00,0,738.4,7.50
8,2017-05-05,20:45:00,0,737.8,7.50
9,2017-05-05,21:00:00,0,737.8,7.50
10,2017-05-05,21:15:00,0,737.4,7.52
11,2017-05-05,21:30:00,0,737.4,7.52
12,2017-05-05,21:45:00,0,737.6,7.50
13,2017-05-05,22:00:00,0,737.0,7.50
14,2017-05-05,22:15:00,0,737.2,7.51
15,2017-05-05,22:30:00,0,737.0,7.47
16,2017-05-05,22:45:00,0,737.4,7.52
17,2017-05-05,23:00:00,0,737.4,7.50
18,2017-05-05,23:15:00,0,737.4,7.52
19,2017-05-05,23:30:00,0,736.8,7.50
20,2017-05-05,23:45:00,0,737.4,7.50
21,2017-05-06,00:00:00,0,737.4,7.50
22,2017-05-06,00:15:00,0,737.4,7.52
23,2017-05-06,00:30:00,0,737.2,7.50
24,2017-05-06,00:45:00,0,737.2,7.52
25,2017-05-06,01:00:00,0,737.2,7.50
26,2017-05-06,01:15:00,0,736.8,7.52
27,2017-05-06,01:30:00,0,736.8,7.50
28,2017-05-06,01:45:00,0,737.0,7.50
29,2017-05-06,02:00:00,0,737.0,7.52
30,2017-05-06,02:15:00,0,736.8,7.48
31,2017-05-06,02:30:00,0,736.4,7.50
32,2017-05-06,02:45:00,0,736.6,7.50
33,2017-05-06,03:00:00,0,737.0,7.50
34,2017-05-06,03:15:00,0,736.8,7.50
35,2017-05-06,03:30:00,0,737.0,7.50
36,2017-05-06,03:45:00,0,736.6,7.47
37,2017-05-06,04:00:00,0,737.0,7.48
38,2017-05-06,04:15:00,0,736.4,7.50
39,2017-05-06,04:30:00,0,736.4,7.50
40,2017-05-06,04:45:00,0,736.6,7.50
41,2017-05-06,05:00:00,0,737.0,7.48
42,2017-05-06,05:15:00,0,736.4,7.50
43,2017-05-06,05:30:00,0,736.8,7.51
44,2017-05-06,05:45:00,0,736.8,7.51
45,2017-05-06,06:00:00,0,736.8,7.50
46,2017-05-06,06:15:00,0,736.6,7.50
47,2017-05-06,06:30:00,0,736.8,7.52
48,2017-05-06,06:45:00,0,736.2,7.52
49,2017-05-06,07:00:00,0,736.6,7.50
50,2017-05-06,07:15:00,0,736.4,7.50
51,2017-05-06,07:30:00,0,736.2,7.50
52,2017-05-06,07:45:00,0,735.8,7.48
53,2017-05-06,08:00:00,0,736.0,7.50
54,2017-05-06,08:15:00,0,735.6,7.50
55,2017-05-06,08:30:00,0,735.8,7.50
56,2017-05-06,08:45:00,0,736.0,7.52
57,2017-05-06,09:00:00,0,736.4,7.50
58,2017-05-06,09:15:00,0,736.2,7.50
59,2017-05-06,09:30:00,0,736.0,7.48
60,2017-05-06,09:45:00,0,735.8,7.50
61,2017-05-06,10:00:00,0,735.8,7.50
62,2017-05-06,10:15:00,0,736.0,7.50
63,2017-05-06,10:30:00,0,735.2,7.50
64,2017-05-06,10:45:00,0,735.6,7.50
65,2017-05-06,11:00:00,0,735.8,7.50
66,2017-05-06,11:15:00,0,735.4,7.52
67,2017-05-06,11:30:00,0,735.2,7.50
68,2017-05-06,11:45:00,0,735.2,7.50
69,2017-05-06,12:00:00,0,735.6,7.50
70,2017-05-06,12:15:00,0,734.8,7.50
71,2017-05-06,12:30:00,0,734.8,7.50
72,2017-05-06,12:45:00,0,735.0,7.46
73,2017-05-06,13:00:00,0,735.2,7.48
74,2017-05-06,13:15:00,0,735.2,7.47
75,2017-05-06,13:30:00,0,734.8,7.50
76,2017-05-06,13:45:00,0,734.8,7.46
77,2017-05-06,14:00:00,0,734.4,7.50
78,2017-05-06,14:15:00,0,734.2,7.48
79,2017-05-06,14:30:00,0,733.8,7.48
80,2017-05-06,14:45:00,0,733.8,7.50
81,2017-05-06,15:00:00,0,733.8,7.50
82,2017-05-06,15:15:00,0,733.6,7.51
83,2017-05-06,15:30:00,0,733.8,7.50
84,2017-05-06,15:45:00,0,733.4,7.52
85,2017-05-06,16:00:00,0,733.4,7.50
86,2017-05-06,16:15:00,0,733.6,7.52
87,2017-05-06,16:30:00,0,733.2,7.48
88,2017-05-06,16:45:00,0,733.2,7.50
89,2017-05-06,17:00:00,0,733.4,7.50
90,2017-05-06,17:15:00,0,733.4,7.50
91,2017-05-06,17:30:00,0,733.6,7.50
92,2017-05-06,17:45:00,0,733.2,7.50
93,2017-05-06,18:00:00,0,733.2,7.50
94,2017-05-06,18:15:00,0,733.4,7.52
95,2017-05-06,18:30:00,0,733.8,7.50
96,2017-05-06,18:45:00,0,734.0,7.50
97,2017-05-06,19:00:00,0,734.6,7.50
98,2017-05-06,19:15:00,0,734.8,7.50
99,2017-05-06,19:30:00,0,735.0,7.50
100,2017-05-06,19:45:00,0,735.2,7.50
101,2017-05-06,20:00:00,0,734.8,7.51
102,2017-05-06,20:15:00,0,735.2,7.50
103,2017-05-06,20:30:00,0,735.4,7.50
104,2017-05-06,20:45:00,0,735.6,7.50
105,2017-05-06,21:00:00,0,735.8,7.50
106,2017-05-06,21:15:00,0,736.0,7.48
107,2017-05-06,21:30:00,0,736.4,7.50
108,2017-05-06,21:45:00,0,736.2,7.50
109,2017-05-06,22:00:00,0,736.2,7.48
110,2017-05-06,22:15:00,0,735.6,7.52
111,2017-05-06,22:30:00,0,736.2,7.50
