Serial Number
	5631
Project ID
	04300001
Location
	Sintra_00_SIN_F3
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		1000.00   cm
	Altitude
		100       m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-10-28,19:00:00,0,844.6,1.97
2,2016-10-28,19:15:00,0,844.4,2.13
3,2016-10-28,19:30:00,0,844.0,2.28
4,2016-10-28,19:45:00,0,844.6,2.33
5,2016-10-28,20:00:00,0,844.4,2.09
6,2016-10-28,20:15:00,0,844.0,2.25
7,2016-10-28,20:30:00,0,843.8,2.14
8,2016-10-28,20:45:00,0,843.8,2.22
9,2016-10-28,21:00:00,0,843.8,2.29
10,2016-10-28,21:15:00,0,844.0,2.13
11,2016-10-28,21:30:00,0,844.6,2.45
12,2016-10-28,21:45:00,0,844.8,2.13
13,2016-10-28,22:00:00,0,843.8,2.27
14,2016-10-28,22:15:00,0,843.8,2.32
15,2016-10-28,22:30:00,0,843.8,2.19
16,2016-10-28,22:45:00,0,843.6,2.24
17,2016-10-28,23:00:00,0,843.6,2.26
18,2016-10-28,23:15:00,0,843.8,2.26
19,2016-10-28,23:30:00,0,843.6,2.42
20,2016-10-28,23:45:00,0,843.8,2.47
21,2016-10-29,00:00:00,0,843.6,2.10
22,2016-10-29,00:15:00,0,844.0,2.07
23,2016-10-29,00:30:00,0,843.8,2.20
24,2016-10-29,00:45:00,0,844.0,2.20
25,2016-10-29,01:00:00,0,843.8,2.32
26,2016-10-29,01:15:00,0,842.6,2.19
27,2016-10-29,01:30:00,0,843.4,2.48
28,2016-10-29,01:45:00,0,843.8,2.42
29,2016-10-29,02:00:00,0,843.6,2.26
30,2016-10-29,02:15:00,0,843.6,2.32
31,2016-10-29,02:30:00,0,843.6,2.36
32,2016-10-29,02:45:00,0,842.8,2.41
33,2016-10-29,03:00:00,0,843.0,2.48
34,2016-10-29,03:15:00,0,841.6,2.16
35,2016-10-29,03:30:00,0,842.8,2.28
36,2016-10-29,03:45:00,0,842.6,2.34
37,2016-10-29,04:00:00,0,842.6,2.11
38,2016-10-29,04:15:00,0,841.8,2.43
39,2016-10-29,04:30:00,0,842.0,2.33
40,2016-10-29,04:45:00,0,841.8,2.49
41,2016-10-29,05:00:00,0,842.0,1.98
42,2016-10-29,05:15:00,0,842.2,2.43
43,2016-10-29,05:30:00,0,843.4,2.27
44,2016-10-29,05:45:00,0,841.4,2.26
45,2016-10-29,06:00:00,0,842.2,2.35
46,2016-10-29,06:15:00,0,841.2,2.19
47,2016-10-29,06:30:00,0,841.8,2.15
48,2016-10-29,06:45:00,0,842.6,2.19
49,2016-10-29,07:00:00,0,842.2,2.23
50,2016-10-29,07:15:00,0,841.6,2.37
51,2016-10-29,07:30:00,0,841.6,2.27
52,2016-10-29,07:45:00,0,841.8,2.05
53,2016-10-29,08:00:00,0,841.6,2.02
54,2016-10-29,08:15:00,0,841.6,2.31
55,2016-10-29,08:30:00,0,841.4,2.32
56,2016-10-29,08:45:00,0,841.2,2.35
57,2016-10-29,09:00:00,0,841.6,1.96
58,2016-10-29,09:15:00,0,841.2,2.39
59,2016-10-29,09:30:00,0,840.2,2.14
60,2016-10-29,09:45:00,0,840.4,2.08
61,2016-10-29,10:00:00,0,840.6,2.17
62,2016-10-29,10:15:00,0,840.2,2.21
63,2016-10-29,10:30:00,0,839.8,2.47
64,2016-10-29,10:45:00,0,839.8,2.27
65,2016-10-29,11:00:00,0,839.8,2.23
66,2016-10-29,11:15:00,0,839.4,2.21
67,2016-10-29,11:30:00,0,839.2,2.26
68,2016-10-29,11:45:00,0,839.4,2.16
69,2016-10-29,12:00:00,0,839.2,2.20
70,2016-10-29,12:15:00,0,838.4,2.36
71,2016-10-29,12:30:00,0,838.4,2.12
72,2016-10-29,12:45:00,0,837.4,2.26
73,2016-10-29,13:00:00,0,838.0,2.09
74,2016-10-29,13:15:00,0,837.2,2.17
75,2016-10-29,13:30:00,0,837.2,2.08
76,2016-10-29,13:45:00,0,836.8,2.46
77,2016-10-29,14:00:00,0,837.0,2.25
78,2016-10-29,14:15:00,0,837.2,2.18
79,2016-10-29,14:30:00,0,837.2,2.01
80,2016-10-29,14:45:00,0,836.6,2.26
81,2016-10-29,15:00:00,0,836.8,2.38
82,2016-10-29,15:15:00,0,836.6,1.98
83,2016-10-29,15:30:00,0,836.4,2.24
84,2016-10-29,15:45:00,0,836.6,2.46
85,2016-10-29,16:00:00,0,836.8,2.12
86,2016-10-29,16:15:00,0,837.4,2.20
87,2016-10-29,16:30:00,0,837.0,2.37
88,2016-10-29,16:45:00,0,837.4,2.23
89,2016-10-29,17:00:00,0,837.2,2.16
90,2016-10-29,17:15:00,0,837.6,2.11
91,2016-10-29,17:30:00,0,837.2,2.22
92,2016-10-29,17:45:00,0,837.6,2.42
93,2016-10-29,18:00:00,0,838.0,2.23
94,2016-10-29,18:15:00,0,838.2,2.17
95,2016-10-29,18:30:00,0,838.4,1.99
96,2016-10-29,18:45:00,0,838.6,2.10
97,2016-10-29,19:00:00,0,838.0,2.15
98,2016-10-29,19:15:00,0,839.0,2.08
99,2016-10-29,19:30:00,0,838.8,2.11
100,2016-10-29,19:45:00,0,839.0,2.25
101,2016-10-29,20:00:00,0,839.4,2.32
102,2016-10-29,20:15:00,0,839.4,2.26
103,2016-10-29,20:30:00,0,839.2,2.31
104,2016-10-29,20:45:00,0,839.8,2.15
105,2016-10-29,21:00:00,0,840.0,2.21
106,2016-10-29,21:15:00,0,840.4,2.21
107,2016-10-29,21:30:00,0,840.6,2.35
108,2016-10-29,21:45:00,0,840.2,2.20
109,2016-10-29,22:00:00,0,840.6,1.88
110,2016-10-29,22:15:00,0,840.6,2.41
111,2016-10-29,22:30:00,0,840.0,2.17
112,2016-10-29,22:45:00,0,841.0,2.15
113,2016-10-29,23:00:00,0,840.4,2.28
114,2016-10-29,23:15:00,0,840.6,2.22
115,2016-10-29,23:30:00,0,841.2,2.05
116,2016-10-29,23:45:00,0,841.4,2.19
117,2016-10-30,00:00:00,0,841.2,2.37
118,2016-10-30,00:15:00,0,841.4,2.22
119,2016-10-30,00:30:00,0,841.4,2.07
120,2016-10-30,00:45:00,0,841.6,2.29
121,2016-10-30,01:00:00,0,842.2,2.01
122,2016-10-30,01:15:00,0,841.6,2.23
123,2016-10-30,01:30:00,0,842.0,2.10
124,2016-10-30,01:45:00,0,841.8,2.22
125,2016-10-30,02:00:00,0,841.8,2.13
126,2016-10-30,02:15:00,0,842.4,2.35
127,2016-10-30,02:30:00,0,842.6,2.11
128,2016-10-30,02:45:00,0,842.0,2.17
129,2016-10-30,03:00:00,0,842.6,2.09
130,2016-10-30,03:15:00,0,842.8,2.23
131,2016-10-30,03:30:00,0,843.0,2.24
132,2016-10-30,03:45:00,0,842.8,2.44
133,2016-10-30,04:00:00,0,842.6,1.94
134,2016-10-30,04:15:00,0,843.4,2.24
135,2016-10-30,04:30:00,0,843.4,2.17
136,2016-10-30,04:45:00,0,843.8,2.38
137,2016-10-30,05:00:00,0,844.0,2.17
138,2016-10-30,05:15:00,0,843.8,2.22
139,2016-10-30,05:30:00,0,844.2,2.24
140,2016-10-30,05:45:00,0,844.4,2.16
141,2016-10-30,06:00:00,0,845.0,2.05
142,2016-10-30,06:15:00,0,845.2,1.96
143,2016-10-30,06:30:00,0,845.6,2.16
144,2016-10-30,06:45:00,0,845.2,2.14
145,2016-10-30,07:00:00,0,845.4,2.46
146,2016-10-30,07:15:00,0,845.8,2.25
147,2016-10-30,07:30:00,0,846.0,2.13
148,2016-10-30,07:45:00,0,846.6,1.91
149,2016-10-30,08:00:00,0,846.2,2.15
150,2016-10-30,08:15:00,0,846.0,2.01
151,2016-10-30,08:30:00,0,846.8,1.95
152,2016-10-30,08:45:00,0,846.0,2.19
153,2016-10-30,09:00:00,0,846.2,2.11
154,2016-10-30,09:15:00,0,846.6,2.32
155,2016-10-30,09:30:00,0,846.2,2.28
