Serial Number
	5631
Project ID
	04300001
Location
	Sintra_00_SIN_F3
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		1000.00   cm
	Altitude
		100       m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-10,13:00:00,0,966.4,-16.62
2,2017-05-10,13:15:00,0,965.8,-15.43
3,2017-05-10,13:30:00,0,966.0,-15.65
4,2017-05-10,13:45:00,0,966.6,-17.44
5,2017-05-10,14:00:00,0,966.4,-16.24
6,2017-05-10,14:15:00,0,966.0,-16.95
7,2017-05-10,14:30:00,0,966.2,-16.57
8,2017-05-10,14:45:00,0,965.2,-16.30
9,2017-05-10,15:00:00,0,966.0,-16.66
10,2017-05-10,15:15:00,0,965.0,-15.36
11,2017-05-10,15:30:00,0,965.6,-16.20
12,2017-05-10,15:45:00,0,965.8,-16.83
13,2017-05-10,16:00:00,0,965.8,-17.16
14,2017-05-10,16:15:00,0,965.8,-17.32
15,2017-05-10,16:30:00,0,966.2,-16.42
16,2017-05-10,16:45:00,0,965.8,-15.83
17,2017-05-10,17:00:00,0,965.4,-15.47
18,2017-05-10,17:15:00,0,965.8,-15.59
19,2017-05-10,17:30:00,0,966.0,-17.05
20,2017-05-10,17:45:00,0,966.2,-15.99
21,2017-05-10,18:00:00,0,966.8,-16.38
22,2017-05-10,18:15:00,0,965.8,-16.20
23,2017-05-10,18:30:00,0,966.4,-15.62
24,2017-05-10,18:45:00,0,966.6,-16.83
25,2017-05-10,19:00:00,0,966.4,-16.70
26,2017-05-10,19:15:00,0,967.0,-16.29
27,2017-05-10,19:30:00,0,966.8,-16.70
28,2017-05-10,19:45:00,0,967.2,-16.86
29,2017-05-10,20:00:00,0,967.8,-17.42
30,2017-05-10,20:15:00,0,967.6,-15.71
31,2017-05-10,20:30:00,0,967.8,-17.08
32,2017-05-10,20:45:00,0,967.6,-17.55
33,2017-05-10,21:00:00,0,967.6,-15.53
34,2017-05-10,21:15:00,0,967.4,-16.75
35,2017-05-10,21:30:00,0,967.8,-17.21
36,2017-05-10,21:45:00,0,967.8,-16.16
37,2017-05-10,22:00:00,0,967.8,-15.91
38,2017-05-10,22:15:00,0,967.6,-15.99
39,2017-05-10,22:30:00,0,968.0,-16.53
40,2017-05-10,22:45:00,0,967.8,-16.64
41,2017-05-10,23:00:00,0,967.8,-17.21
42,2017-05-10,23:15:00,0,968.0,-17.33
