Serial Number
	5974
Project ID
	03097062
Location
	03097062_Ste-Martine
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		500.00    cm
	Altitude
		40        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-12-02,13:00:00,0,364.1,8.48
2,2016-12-02,13:15:00,0,364.4,8.46
3,2016-12-02,13:30:00,0,364.6,8.47
4,2016-12-02,13:45:00,0,364.4,8.45
5,2016-12-02,14:00:00,0,364.4,8.44
6,2016-12-02,14:15:00,0,364.6,8.44
7,2016-12-02,14:30:00,0,364.8,8.45
8,2016-12-02,14:45:00,0,365.1,8.46
9,2016-12-02,15:00:00,0,365.1,8.44
10,2016-12-02,15:15:00,0,365.4,8.43
11,2016-12-02,15:30:00,0,365.6,8.43
12,2016-12-02,15:45:00,0,365.6,8.43
13,2016-12-02,16:00:00,0,365.8,8.45
14,2016-12-02,16:15:00,0,365.9,8.44
15,2016-12-02,16:30:00,0,365.9,8.44
16,2016-12-02,16:45:00,0,366.2,8.44
17,2016-12-02,17:00:00,0,366.2,8.44
18,2016-12-02,17:15:00,0,366.4,8.44
19,2016-12-02,17:30:00,0,366.6,8.43
20,2016-12-02,17:45:00,0,366.7,8.43
21,2016-12-02,18:00:00,0,366.7,8.43
22,2016-12-02,18:15:00,0,366.7,8.44
23,2016-12-02,18:30:00,0,366.7,8.43
24,2016-12-02,18:45:00,0,366.9,8.43
25,2016-12-02,19:00:00,0,367.1,8.43
26,2016-12-02,19:15:00,0,367.4,8.43
27,2016-12-02,19:30:00,0,367.4,8.44
28,2016-12-02,19:45:00,0,367.4,8.43
29,2016-12-02,20:00:00,0,367.6,8.43
30,2016-12-02,20:15:00,0,367.8,8.43
31,2016-12-02,20:30:00,0,367.8,8.43
32,2016-12-02,20:45:00,0,367.6,8.43
33,2016-12-02,21:00:00,0,367.6,8.43
34,2016-12-02,21:15:00,0,367.8,8.42
35,2016-12-02,21:30:00,0,367.9,8.44
36,2016-12-02,21:45:00,0,367.9,8.44
37,2016-12-02,22:00:00,0,367.8,8.42
38,2016-12-02,22:15:00,0,367.8,8.43
39,2016-12-02,22:30:00,0,368.3,8.42
40,2016-12-02,22:45:00,0,368.3,8.44
41,2016-12-02,23:00:00,0,368.3,8.43
42,2016-12-02,23:15:00,0,368.7,8.45
43,2016-12-02,23:30:00,0,368.4,8.43
44,2016-12-02,23:45:00,0,368.3,8.44
45,2016-12-03,00:00:00,0,368.3,8.44
46,2016-12-03,00:15:00,0,368.8,8.43
47,2016-12-03,00:30:00,0,368.8,8.43
48,2016-12-03,00:45:00,0,368.8,8.43
49,2016-12-03,01:00:00,0,368.9,8.44
50,2016-12-03,01:15:00,0,369.3,8.44
51,2016-12-03,01:30:00,0,369.1,8.43
52,2016-12-03,01:45:00,0,369.6,8.43
53,2016-12-03,02:00:00,0,369.9,8.43
54,2016-12-03,02:15:00,0,370.1,8.43
55,2016-12-03,02:30:00,0,370.3,8.44
56,2016-12-03,02:45:00,0,370.4,8.44
57,2016-12-03,03:00:00,0,370.6,8.43
58,2016-12-03,03:15:00,0,370.6,8.40
59,2016-12-03,03:30:00,0,370.6,8.44
60,2016-12-03,03:45:00,0,370.8,8.44
61,2016-12-03,04:00:00,0,371.0,8.43
62,2016-12-03,04:15:00,0,371.0,8.43
63,2016-12-03,04:30:00,0,371.5,8.43
64,2016-12-03,04:45:00,0,371.8,8.44
65,2016-12-03,05:00:00,0,372.0,8.43
66,2016-12-03,05:15:00,0,372.1,8.43
67,2016-12-03,05:30:00,0,372.3,8.43
68,2016-12-03,05:45:00,0,372.5,8.43
69,2016-12-03,06:00:00,0,372.8,8.43
70,2016-12-03,06:15:00,0,373.1,8.42
71,2016-12-03,06:30:00,0,373.1,8.44
72,2016-12-03,06:45:00,0,373.5,8.43
73,2016-12-03,07:00:00,0,373.6,8.43
74,2016-12-03,07:15:00,0,373.6,8.44
75,2016-12-03,07:30:00,0,374.2,8.43
76,2016-12-03,07:45:00,0,374.3,8.44
77,2016-12-03,08:00:00,0,374.3,8.43
78,2016-12-03,08:15:00,0,374.7,8.42
79,2016-12-03,08:30:00,0,374.7,8.43
80,2016-12-03,08:45:00,0,375.0,8.43
81,2016-12-03,09:00:00,0,375.2,8.44
82,2016-12-03,09:15:00,0,375.3,8.43
83,2016-12-03,09:30:00,0,375.3,8.43
84,2016-12-03,09:45:00,0,375.7,8.44
85,2016-12-03,10:00:00,0,375.8,8.44
86,2016-12-03,10:15:00,0,375.8,8.43
87,2016-12-03,10:30:00,0,376.0,8.42
88,2016-12-03,10:45:00,0,375.8,8.43
89,2016-12-03,11:00:00,0,376.0,8.44
90,2016-12-03,11:15:00,0,376.0,8.43
91,2016-12-03,11:30:00,0,375.8,8.44
