Serial Number
	5974
Project ID
	03097062
Location
	03097062_Ste-Martine
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		500.00    cm
	Altitude
		40        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-05,19:00:00,0,376.2,8.48
2,2017-05-05,19:15:00,0,376.1,8.47
3,2017-05-05,19:30:00,0,376.6,8.45
4,2017-05-05,19:45:00,0,376.1,8.46
5,2017-05-05,20:00:00,0,376.1,8.47
6,2017-05-05,20:15:00,0,375.9,8.49
7,2017-05-05,20:30:00,0,376.6,8.48
8,2017-05-05,20:45:00,0,376.6,8.47
9,2017-05-05,21:00:00,0,376.4,8.48
10,2017-05-05,21:15:00,0,376.7,8.48
11,2017-05-05,21:30:00,0,376.7,8.48
12,2017-05-05,21:45:00,0,376.9,8.47
13,2017-05-05,22:00:00,0,377.2,8.47
14,2017-05-05,22:15:00,0,377.1,8.49
15,2017-05-05,22:30:00,0,377.2,8.48
16,2017-05-05,22:45:00,0,377.6,8.48
17,2017-05-05,23:00:00,0,378.3,8.48
18,2017-05-05,23:15:00,0,378.3,8.47
19,2017-05-05,23:30:00,0,378.3,8.48
20,2017-05-05,23:45:00,0,378.3,8.46
21,2017-05-06,00:00:00,0,378.1,8.48
22,2017-05-06,00:15:00,0,378.6,8.47
23,2017-05-06,00:30:00,0,378.4,8.48
24,2017-05-06,00:45:00,0,378.4,8.47
25,2017-05-06,01:00:00,0,378.3,8.47
26,2017-05-06,01:15:00,0,378.4,8.46
27,2017-05-06,01:30:00,0,378.1,8.47
28,2017-05-06,01:45:00,0,378.1,8.47
29,2017-05-06,02:00:00,0,377.9,8.46
30,2017-05-06,02:15:00,0,378.1,8.48
31,2017-05-06,02:30:00,0,377.7,8.47
32,2017-05-06,02:45:00,0,377.4,8.48
33,2017-05-06,03:00:00,0,377.9,8.47
34,2017-05-06,03:15:00,0,377.6,8.45
35,2017-05-06,03:30:00,0,377.7,8.48
36,2017-05-06,03:45:00,0,378.3,8.47
37,2017-05-06,04:00:00,0,377.9,8.47
38,2017-05-06,04:15:00,0,377.2,8.46
39,2017-05-06,04:30:00,0,377.7,8.47
40,2017-05-06,04:45:00,0,377.4,8.47
41,2017-05-06,05:00:00,0,377.6,8.48
42,2017-05-06,05:15:00,0,377.1,8.47
43,2017-05-06,05:30:00,0,376.9,8.47
44,2017-05-06,05:45:00,0,376.9,8.48
45,2017-05-06,06:00:00,0,377.1,8.47
46,2017-05-06,06:15:00,0,376.9,8.47
47,2017-05-06,06:30:00,0,376.6,8.46
48,2017-05-06,06:45:00,0,376.7,8.46
49,2017-05-06,07:00:00,0,376.3,8.44
50,2017-05-06,07:15:00,0,376.1,8.47
51,2017-05-06,07:30:00,0,375.7,8.46
52,2017-05-06,07:45:00,0,375.2,8.44
53,2017-05-06,08:00:00,0,375.4,8.46
54,2017-05-06,08:15:00,0,374.9,8.46
55,2017-05-06,08:30:00,0,374.9,8.46
56,2017-05-06,08:45:00,0,374.7,8.45
57,2017-05-06,09:00:00,0,375.1,8.46
58,2017-05-06,09:15:00,0,374.8,8.44
59,2017-05-06,09:30:00,0,374.5,8.44
60,2017-05-06,09:45:00,0,374.2,8.45
61,2017-05-06,10:00:00,0,374.2,8.46
62,2017-05-06,10:15:00,0,373.9,8.46
63,2017-05-06,10:30:00,0,373.5,8.44
64,2017-05-06,10:45:00,0,373.7,8.45
65,2017-05-06,11:00:00,0,373.3,8.43
66,2017-05-06,11:15:00,0,373.3,8.43
67,2017-05-06,11:30:00,0,373.0,8.47
68,2017-05-06,11:45:00,0,372.8,8.44
69,2017-05-06,12:00:00,0,372.8,8.44
70,2017-05-06,12:15:00,0,372.5,8.44
71,2017-05-06,12:30:00,0,372.3,8.44
72,2017-05-06,12:45:00,0,372.1,8.43
