Serial Number
	63513
Project ID
	03090012
Location
	Ste-Clotilde_MT
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		10000.00  cm
	Altitude
		56        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-03,19:00:00,0,7060,8.16
2,2017-05-03,19:15:00,0,7029,8.23
3,2017-05-03,19:30:00,0,7020,8.24
4,2017-05-03,19:45:00,0,7021,8.21
5,2017-05-03,20:00:00,0,7024,8.21
6,2017-05-03,20:15:00,0,7024,8.22
7,2017-05-03,20:30:00,0,7015,8.23
8,2017-05-03,20:45:00,0,7017,8.24
9,2017-05-03,21:00:00,0,7012,8.21
10,2017-05-03,21:15:00,0,7025,8.22
11,2017-05-03,21:30:00,0,7029,8.24
12,2017-05-03,21:45:00,0,7029,8.24
13,2017-05-03,22:00:00,0,7027,8.24
14,2017-05-03,22:15:00,0,7029,8.22
15,2017-05-03,22:30:00,0,7033,8.25
16,2017-05-03,22:45:00,0,7032,8.26
17,2017-05-03,23:00:00,0,7032,8.23
18,2017-05-03,23:15:00,0,7036,8.24
19,2017-05-03,23:30:00,0,7036,8.24
20,2017-05-03,23:45:00,0,7041,8.25
21,2017-05-04,00:00:00,0,7039,8.23
22,2017-05-04,00:15:00,0,7041,8.24
23,2017-05-04,00:30:00,0,7037,8.25
24,2017-05-04,00:45:00,0,7043,8.24
25,2017-05-04,01:00:00,0,7039,8.24
26,2017-05-04,01:15:00,0,7040,8.25
27,2017-05-04,01:30:00,0,7047,8.24
28,2017-05-04,01:45:00,0,7041,8.26
29,2017-05-04,02:00:00,0,7039,8.30
30,2017-05-04,02:15:00,0,7041,8.29
31,2017-05-04,02:30:00,0,7037,8.25
32,2017-05-04,02:45:00,0,7044,8.25
33,2017-05-04,03:00:00,0,7044,8.24
34,2017-05-04,03:15:00,0,7047,8.24
35,2017-05-04,03:30:00,0,7047,8.24
36,2017-05-04,03:45:00,0,7043,8.25
37,2017-05-04,04:00:00,0,7037,8.26
38,2017-05-04,04:15:00,0,7039,8.28
39,2017-05-04,04:30:00,0,7041,8.27
40,2017-05-04,04:45:00,0,7041,8.26
41,2017-05-04,05:00:00,0,7032,8.27
42,2017-05-04,05:15:00,0,7044,8.25
43,2017-05-04,05:30:00,0,7040,8.24
44,2017-05-04,05:45:00,0,7036,8.24
45,2017-05-04,06:00:00,0,7044,8.24
46,2017-05-04,06:15:00,0,7033,8.25
47,2017-05-04,06:30:00,0,7035,8.25
48,2017-05-04,06:45:00,0,7036,8.24
49,2017-05-04,07:00:00,0,7041,8.26
50,2017-05-04,07:15:00,0,7040,8.27
51,2017-05-04,07:30:00,0,7049,8.27
52,2017-05-04,07:45:00,0,7045,8.30
53,2017-05-04,08:00:00,0,7041,8.29
54,2017-05-04,08:15:00,0,7044,8.27
55,2017-05-04,08:30:00,0,7044,8.28
56,2017-05-04,08:45:00,0,7044,8.24
57,2017-05-04,09:00:00,0,7037,8.24
58,2017-05-04,09:15:00,0,7043,8.25
59,2017-05-04,09:30:00,0,7029,8.26
60,2017-05-04,09:45:00,0,7032,8.29
61,2017-05-04,10:00:00,0,7035,8.29
62,2017-05-04,10:15:00,0,7032,8.30
63,2017-05-04,10:30:00,0,7036,8.25
64,2017-05-04,10:45:00,0,7035,8.27
65,2017-05-04,11:00:00,0,7035,8.24
66,2017-05-04,11:15:00,0,7029,8.25
67,2017-05-04,11:30:00,0,7027,8.25
68,2017-05-04,11:45:00,0,7021,8.26
69,2017-05-04,12:00:00,0,7023,8.25
70,2017-05-04,12:15:00,0,7016,8.26
71,2017-05-04,12:30:00,0,7023,8.24
