Serial Number
	63531
Project ID
	04647011
Location
	Mirabel_R-14
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		1000.00   cm
	Altitude
		70        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-10-28,13:00:00,0,735.6,11.34
2,2016-10-28,13:15:00,0,734.7,11.35
3,2016-10-28,13:30:00,0,733.9,11.39
4,2016-10-28,13:45:00,0,733.6,11.37
5,2016-10-28,14:00:00,0,734.3,11.38
6,2016-10-28,14:15:00,0,733.1,11.36
7,2016-10-28,14:30:00,0,733.7,11.36
8,2016-10-28,14:45:00,0,733.7,11.35
9,2016-10-28,15:00:00,0,734.3,11.36
10,2016-10-28,15:15:00,0,733.7,11.36
11,2016-10-28,15:30:00,0,733.5,11.35
12,2016-10-28,15:45:00,0,733.3,11.35
13,2016-10-28,16:00:00,0,733.1,11.39
14,2016-10-28,16:15:00,0,733.7,11.38
15,2016-10-28,16:30:00,0,733.6,11.35
16,2016-10-28,16:45:00,0,733.2,11.39
17,2016-10-28,17:00:00,0,733.5,11.38
18,2016-10-28,17:15:00,0,733.7,11.36
19,2016-10-28,17:30:00,0,732.9,11.39
20,2016-10-28,17:45:00,0,733.7,11.43
21,2016-10-28,18:00:00,0,733.1,11.37
22,2016-10-28,18:15:00,0,733.7,11.35
23,2016-10-28,18:30:00,0,733.7,11.36
24,2016-10-28,18:45:00,0,732.8,11.37
25,2016-10-28,19:00:00,0,734.0,11.36
26,2016-10-28,19:15:00,0,734.1,11.38
27,2016-10-28,19:30:00,0,734.1,11.39
28,2016-10-28,19:45:00,0,733.5,11.36
29,2016-10-28,20:00:00,0,733.5,11.36
30,2016-10-28,20:15:00,0,733.1,11.38
31,2016-10-28,20:30:00,0,732.7,11.36
32,2016-10-28,20:45:00,0,731.6,11.39
33,2016-10-28,21:00:00,0,731.9,11.39
34,2016-10-28,21:15:00,0,732.4,11.38
35,2016-10-28,21:30:00,0,732.3,11.38
36,2016-10-28,21:45:00,0,732.8,11.38
37,2016-10-28,22:00:00,0,733.5,11.39
38,2016-10-28,22:15:00,0,732.3,11.36
39,2016-10-28,22:30:00,0,732.7,11.39
40,2016-10-28,22:45:00,0,731.5,11.36
41,2016-10-28,23:00:00,0,731.3,11.38
42,2016-10-28,23:15:00,0,730.3,11.42
43,2016-10-28,23:30:00,0,731.3,11.41
44,2016-10-28,23:45:00,0,731.9,11.41
45,2016-10-29,00:00:00,0,731.5,11.40
46,2016-10-29,00:15:00,0,730.5,11.39
47,2016-10-29,00:30:00,0,731.7,11.36
48,2016-10-29,00:45:00,0,730.9,11.35
49,2016-10-29,01:00:00,0,730.7,11.35
50,2016-10-29,01:15:00,0,731.1,11.33
51,2016-10-29,01:30:00,0,731.1,11.43
52,2016-10-29,01:45:00,0,730.7,11.41
53,2016-10-29,02:00:00,0,730.0,11.38
54,2016-10-29,02:15:00,0,730.9,11.36
55,2016-10-29,02:30:00,0,730.3,11.36
56,2016-10-29,02:45:00,0,730.8,11.36
57,2016-10-29,03:00:00,0,729.7,11.36
58,2016-10-29,03:15:00,0,729.6,11.38
59,2016-10-29,03:30:00,0,729.2,11.39
60,2016-10-29,03:45:00,0,728.0,11.36
61,2016-10-29,04:00:00,0,728.1,11.36
62,2016-10-29,04:15:00,0,728.3,11.36
63,2016-10-29,04:30:00,0,728.4,11.35
64,2016-10-29,04:45:00,0,728.0,11.34
65,2016-10-29,05:00:00,0,727.1,11.33
66,2016-10-29,05:15:00,0,728.3,11.35
67,2016-10-29,05:30:00,0,727.1,11.35
68,2016-10-29,05:45:00,0,728.0,11.34
69,2016-10-29,06:00:00,0,727.3,11.38
70,2016-10-29,06:15:00,0,727.6,11.35
71,2016-10-29,06:30:00,0,727.3,11.35
72,2016-10-29,06:45:00,0,726.9,11.38
73,2016-10-29,07:00:00,0,728.0,11.35
74,2016-10-29,07:15:00,0,727.6,11.38
75,2016-10-29,07:30:00,0,728.5,11.38
76,2016-10-29,07:45:00,0,728.5,11.35
77,2016-10-29,08:00:00,0,728.1,11.39
78,2016-10-29,08:15:00,0,727.3,11.36
79,2016-10-29,08:30:00,0,727.3,11.39
