Serial Number
	63531
Project ID
	04647011
Location
	Mirabel_R-14
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		1000.00   cm
	Altitude
		70        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-10,13:00:00,0,736.7,8.53
2,2017-05-10,13:15:00,0,734.1,8.53
3,2017-05-10,13:30:00,0,734.4,8.58
4,2017-05-10,13:45:00,0,734.5,8.59
5,2017-05-10,14:00:00,0,734.0,8.57
6,2017-05-10,14:15:00,0,734.8,8.56
7,2017-05-10,14:30:00,0,734.1,8.61
8,2017-05-10,14:45:00,0,734.7,8.54
9,2017-05-10,15:00:00,0,733.7,8.56
10,2017-05-10,15:15:00,0,733.5,8.58
11,2017-05-10,15:30:00,0,733.9,8.61
12,2017-05-10,15:45:00,0,733.1,8.56
13,2017-05-10,16:00:00,0,733.7,8.58
14,2017-05-10,16:15:00,0,734.0,8.57
15,2017-05-10,16:30:00,0,734.4,8.56
16,2017-05-10,16:45:00,0,734.1,8.55
17,2017-05-10,17:00:00,0,734.3,8.60
18,2017-05-10,17:15:00,0,733.6,8.55
19,2017-05-10,17:30:00,0,733.7,8.59
20,2017-05-10,17:45:00,0,733.5,8.63
21,2017-05-10,18:00:00,0,733.6,8.61
22,2017-05-10,18:15:00,0,733.6,8.63
23,2017-05-10,18:30:00,0,733.6,8.58
24,2017-05-10,18:45:00,0,733.9,8.58
25,2017-05-10,19:00:00,0,733.6,8.58
26,2017-05-10,19:15:00,0,732.7,8.57
27,2017-05-10,19:30:00,0,732.4,8.56
28,2017-05-10,19:45:00,0,733.3,8.57
29,2017-05-10,20:00:00,0,732.7,8.59
30,2017-05-10,20:15:00,0,733.9,8.58
31,2017-05-10,20:30:00,0,733.6,8.53
32,2017-05-10,20:45:00,0,733.9,8.54
33,2017-05-10,21:00:00,0,734.5,8.58
34,2017-05-10,21:15:00,0,733.3,8.51
35,2017-05-10,21:30:00,0,733.6,8.55
36,2017-05-10,21:45:00,0,733.6,8.57
37,2017-05-10,22:00:00,0,734.1,8.59
38,2017-05-10,22:15:00,0,733.7,8.57
39,2017-05-10,22:30:00,0,733.7,8.55
40,2017-05-10,22:45:00,0,734.0,8.55
41,2017-05-10,23:00:00,0,735.1,8.59
42,2017-05-10,23:15:00,0,734.9,8.56
43,2017-05-10,23:30:00,0,734.8,8.59
44,2017-05-10,23:45:00,0,734.4,8.60
45,2017-05-11,00:00:00,0,734.7,8.59
46,2017-05-11,00:15:00,0,734.1,8.57
47,2017-05-11,00:30:00,0,733.7,8.60
48,2017-05-11,00:45:00,0,733.9,8.54
49,2017-05-11,01:00:00,0,733.2,8.54
50,2017-05-11,01:15:00,0,734.1,8.56
51,2017-05-11,01:30:00,0,733.6,8.56
52,2017-05-11,01:45:00,0,734.3,8.57
53,2017-05-11,02:00:00,0,733.9,8.56
54,2017-05-11,02:15:00,0,733.9,8.57
55,2017-05-11,02:30:00,0,733.6,8.55
56,2017-05-11,02:45:00,0,733.5,8.60
57,2017-05-11,03:00:00,0,733.5,8.58
58,2017-05-11,03:15:00,0,733.6,8.59
59,2017-05-11,03:30:00,0,734.0,8.51
60,2017-05-11,03:45:00,0,733.9,8.58
61,2017-05-11,04:00:00,0,732.9,8.58
62,2017-05-11,04:15:00,0,733.2,8.61
63,2017-05-11,04:30:00,0,733.3,8.59
64,2017-05-11,04:45:00,0,733.6,8.56
65,2017-05-11,05:00:00,0,733.1,8.60
66,2017-05-11,05:15:00,0,733.6,8.58
67,2017-05-11,05:30:00,0,734.0,8.60
68,2017-05-11,05:45:00,0,733.9,8.56
69,2017-05-11,06:00:00,0,734.5,8.56
70,2017-05-11,06:15:00,0,733.9,8.51
71,2017-05-11,06:30:00,0,734.4,8.54
72,2017-05-11,06:45:00,0,734.1,8.55
73,2017-05-11,07:00:00,0,733.9,8.60
74,2017-05-11,07:15:00,0,733.5,8.54
75,2017-05-11,07:30:00,0,733.1,8.55
