Serial Number
	63533
Project ID
	04017051
Location
	Chemin Vide-Sac
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		1000.00   cm
	Altitude
		78        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-10-28,13:00:00,0,702.0,8.61
2,2016-10-28,13:15:00,0,698.8,8.64
3,2016-10-28,13:30:00,0,698.8,8.61
4,2016-10-28,13:45:00,0,698.7,8.63
5,2016-10-28,14:00:00,0,698.5,8.65
6,2016-10-28,14:15:00,0,698.5,8.64
7,2016-10-28,14:30:00,0,699.3,8.63
8,2016-10-28,14:45:00,0,699.1,8.61
9,2016-10-28,15:00:00,0,699.3,8.61
10,2016-10-28,15:15:00,0,698.9,8.64
11,2016-10-28,15:30:00,0,699.1,8.62
12,2016-10-28,15:45:00,0,698.9,8.64
13,2016-10-28,16:00:00,0,699.6,8.65
14,2016-10-28,16:15:00,0,699.7,8.65
15,2016-10-28,16:30:00,0,699.7,8.65
16,2016-10-28,16:45:00,0,699.7,8.66
17,2016-10-28,17:00:00,0,699.3,8.66
18,2016-10-28,17:15:00,0,699.6,8.66
19,2016-10-28,17:30:00,0,699.6,8.65
20,2016-10-28,17:45:00,0,699.3,8.65
21,2016-10-28,18:00:00,0,699.7,8.66
22,2016-10-28,18:15:00,0,692.1,8.65
23,2016-10-28,18:30:00,0,697.3,8.67
24,2016-10-28,18:45:00,0,690.4,8.66
25,2016-10-28,19:00:00,0,697.2,8.65
26,2016-10-28,19:15:00,0,696.8,8.64
27,2016-10-28,19:30:00,0,698.1,8.64
28,2016-10-28,19:45:00,0,698.1,8.65
29,2016-10-28,20:00:00,0,698.5,8.64
30,2016-10-28,20:15:00,0,698.1,8.65
31,2016-10-28,20:30:00,0,697.9,8.63
32,2016-10-28,20:45:00,0,697.5,8.64
33,2016-10-28,21:00:00,0,697.9,8.63
34,2016-10-28,21:15:00,0,698.3,8.63
35,2016-10-28,21:30:00,0,699.3,8.63
36,2016-10-28,21:45:00,0,699.1,8.65
37,2016-10-28,22:00:00,0,699.2,8.64
38,2016-10-28,22:15:00,0,698.7,8.65
39,2016-10-28,22:30:00,0,699.2,8.65
40,2016-10-28,22:45:00,0,699.3,8.65
41,2016-10-28,23:00:00,0,698.8,8.65
42,2016-10-28,23:15:00,0,698.0,8.65
