Serial Number
	63533
Project ID
	04017051
Location
	Chemin Vide-Sac
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		1000.00   cm
	Altitude
		78        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-10,19:00:00,0,927.5,8.50
2,2017-05-10,19:15:00,0,925.3,8.52
3,2017-05-10,19:30:00,0,924.4,8.52
4,2017-05-10,19:45:00,0,924.4,8.51
5,2017-05-10,20:00:00,0,925.3,8.54
6,2017-05-10,20:15:00,0,924.9,8.52
7,2017-05-10,20:30:00,0,925.3,8.51
8,2017-05-10,20:45:00,0,925.6,8.53
9,2017-05-10,21:00:00,0,924.4,8.51
10,2017-05-10,21:15:00,0,925.3,8.51
11,2017-05-10,21:30:00,0,925.6,8.53
12,2017-05-10,21:45:00,0,925.6,8.52
13,2017-05-10,22:00:00,0,925.6,8.52
14,2017-05-10,22:15:00,0,925.3,8.51
15,2017-05-10,22:30:00,0,925.3,8.52
16,2017-05-10,22:45:00,0,921.3,8.51
17,2017-05-10,23:00:00,0,924.0,8.52
18,2017-05-10,23:15:00,0,924.9,8.52
19,2017-05-10,23:30:00,0,925.1,8.51
20,2017-05-10,23:45:00,0,925.2,8.53
21,2017-05-11,00:00:00,0,924.9,8.53
22,2017-05-11,00:15:00,0,924.8,8.53
23,2017-05-11,00:30:00,0,924.4,8.53
24,2017-05-11,00:45:00,0,925.3,8.53
25,2017-05-11,01:00:00,0,923.9,8.53
26,2017-05-11,01:15:00,0,924.8,8.53
27,2017-05-11,01:30:00,0,924.1,8.53
28,2017-05-11,01:45:00,0,925.2,8.53
29,2017-05-11,02:00:00,0,924.3,8.53
30,2017-05-11,02:15:00,0,923.6,8.53
31,2017-05-11,02:30:00,0,924.1,8.53
32,2017-05-11,02:45:00,0,924.4,8.54
33,2017-05-11,03:00:00,0,923.6,8.53
34,2017-05-11,03:15:00,0,923.6,8.53
35,2017-05-11,03:30:00,0,923.9,8.54
36,2017-05-11,03:45:00,0,924.9,8.53
37,2017-05-11,04:00:00,0,923.2,8.53
38,2017-05-11,04:15:00,0,925.2,8.53
39,2017-05-11,04:30:00,0,923.6,8.54
40,2017-05-11,04:45:00,0,923.5,8.53
41,2017-05-11,05:00:00,0,923.7,8.55
42,2017-05-11,05:15:00,0,924.1,8.53
43,2017-05-11,05:30:00,0,924.1,8.55
44,2017-05-11,05:45:00,0,924.7,8.54
45,2017-05-11,06:00:00,0,924.3,8.55
46,2017-05-11,06:15:00,0,924.9,8.54
47,2017-05-11,06:30:00,0,924.7,8.55
48,2017-05-11,06:45:00,0,923.9,8.53
49,2017-05-11,07:00:00,0,922.3,8.55
50,2017-05-11,07:15:00,0,923.6,8.53
51,2017-05-11,07:30:00,0,923.6,8.54
52,2017-05-11,07:45:00,0,923.5,8.53
53,2017-05-11,08:00:00,0,923.2,8.55
54,2017-05-11,08:15:00,0,924.1,8.55
55,2017-05-11,08:30:00,0,924.4,8.56
56,2017-05-11,08:45:00,0,924.4,8.55
57,2017-05-11,09:00:00,0,923.7,8.55
58,2017-05-11,09:15:00,0,923.7,8.56
59,2017-05-11,09:30:00,0,923.7,8.56
60,2017-05-11,09:45:00,0,923.5,8.56
61,2017-05-11,10:00:00,0,923.2,8.54
62,2017-05-11,10:15:00,0,923.5,8.56
63,2017-05-11,10:30:00,0,922.9,8.55
64,2017-05-11,10:45:00,0,924.0,8.55
65,2017-05-11,11:00:00,0,923.2,8.55
66,2017-05-11,11:15:00,0,923.2,8.55
67,2017-05-11,11:30:00,0,923.2,8.55
68,2017-05-11,11:45:00,0,922.3,8.55
69,2017-05-11,12:00:00,0,921.9,8.55
70,2017-05-11,12:15:00,0,921.9,8.55
71,2017-05-11,12:30:00,0,922.3,8.56
72,2017-05-11,12:45:00,0,921.7,8.55
73,2017-05-11,13:00:00,0,921.7,8.56
74,2017-05-11,13:15:00,0,920.8,8.56
75,2017-05-11,13:30:00,0,921.6,8.56
76,2017-05-11,13:45:00,0,921.1,8.56
77,2017-05-11,14:00:00,0,920.8,8.56
78,2017-05-11,14:15:00,0,920.5,8.55
79,2017-05-11,14:30:00,0,920.5,8.56
80,2017-05-11,14:45:00,0,920.8,8.55
81,2017-05-11,15:00:00,0,920.3,8.56
82,2017-05-11,15:15:00,0,920.7,8.55
83,2017-05-11,15:30:00,0,921.1,8.56
84,2017-05-11,15:45:00,0,920.8,8.55
85,2017-05-11,16:00:00,0,920.3,8.55
86,2017-05-11,16:15:00,0,920.3,8.55
87,2017-05-11,16:30:00,0,919.5,8.55
88,2017-05-11,16:45:00,0,919.3,8.56
89,2017-05-11,17:00:00,0,919.6,8.55
90,2017-05-11,17:15:00,0,920.3,8.56
91,2017-05-11,17:30:00,0,919.3,8.55
92,2017-05-11,17:45:00,0,919.5,8.56
93,2017-05-11,18:00:00,0,920.3,8.54
94,2017-05-11,18:15:00,0,919.2,8.54
95,2017-05-11,18:30:00,0,919.3,8.56
96,2017-05-11,18:45:00,0,919.7,8.54
97,2017-05-11,19:00:00,0,919.1,8.55
98,2017-05-11,19:15:00,0,921.1,8.56
99,2017-05-11,19:30:00,0,919.3,8.55
100,2017-05-11,19:45:00,0,918.5,8.56
101,2017-05-11,20:00:00,0,919.3,8.56
102,2017-05-11,20:15:00,0,920.3,8.56
103,2017-05-11,20:30:00,0,920.1,8.57
104,2017-05-11,20:45:00,0,919.2,8.56
105,2017-05-11,21:00:00,0,920.5,8.56
106,2017-05-11,21:15:00,0,920.5,8.56
107,2017-05-11,21:30:00,0,920.3,8.56
108,2017-05-11,21:45:00,0,920.5,8.58
109,2017-05-11,22:00:00,0,920.0,8.56
110,2017-05-11,22:15:00,0,920.3,8.56
111,2017-05-11,22:30:00,0,920.8,8.56
112,2017-05-11,22:45:00,0,915.5,8.56
113,2017-05-11,23:00:00,0,919.3,8.54
114,2017-05-11,23:15:00,0,918.9,8.55
115,2017-05-11,23:30:00,0,919.3,8.56
116,2017-05-11,23:45:00,0,920.8,8.56
117,2017-05-12,00:00:00,0,920.5,8.56
118,2017-05-12,00:15:00,0,919.6,8.56
119,2017-05-12,00:30:00,0,920.5,8.56
120,2017-05-12,00:45:00,0,919.5,8.56
121,2017-05-12,01:00:00,0,920.3,8.55
122,2017-05-12,01:15:00,0,920.0,8.56
123,2017-05-12,01:30:00,0,919.3,8.55
124,2017-05-12,01:45:00,0,919.6,8.56
125,2017-05-12,02:00:00,0,920.5,8.56
126,2017-05-12,02:15:00,0,919.3,8.56
127,2017-05-12,02:30:00,0,918.8,8.55
128,2017-05-12,02:45:00,0,918.8,8.55
129,2017-05-12,03:00:00,0,919.3,8.56
130,2017-05-12,03:15:00,0,919.1,8.56
131,2017-05-12,03:30:00,0,919.3,8.56
132,2017-05-12,03:45:00,0,919.1,8.55
133,2017-05-12,04:00:00,0,919.1,8.55
134,2017-05-12,04:15:00,0,919.3,8.56
135,2017-05-12,04:30:00,0,919.1,8.56
136,2017-05-12,04:45:00,0,919.3,8.56
137,2017-05-12,05:00:00,0,919.2,8.58
138,2017-05-12,05:15:00,0,919.3,8.56
139,2017-05-12,05:30:00,0,918.1,8.56
140,2017-05-12,05:45:00,0,917.9,8.55
141,2017-05-12,06:00:00,0,918.8,8.55
142,2017-05-12,06:15:00,0,918.5,8.56
143,2017-05-12,06:30:00,0,918.8,8.55
144,2017-05-12,06:45:00,0,918.5,8.58
145,2017-05-12,07:00:00,0,917.9,8.56
146,2017-05-12,07:15:00,0,917.9,8.56
147,2017-05-12,07:30:00,0,919.1,8.56
148,2017-05-12,07:45:00,0,919.3,8.55
149,2017-05-12,08:00:00,0,919.6,8.55
150,2017-05-12,08:15:00,0,919.3,8.54
151,2017-05-12,08:30:00,0,918.7,8.56
152,2017-05-12,08:45:00,0,918.5,8.55
153,2017-05-12,09:00:00,0,919.1,8.55
154,2017-05-12,09:15:00,0,919.3,8.56
155,2017-05-12,09:30:00,0,918.4,8.55
156,2017-05-12,09:45:00,0,919.3,8.56
157,2017-05-12,10:00:00,0,919.1,8.54
158,2017-05-12,10:15:00,0,917.7,8.57
159,2017-05-12,10:30:00,0,918.5,8.56
160,2017-05-12,10:45:00,0,918.0,8.57
161,2017-05-12,11:00:00,0,918.1,8.58
162,2017-05-12,11:15:00,0,917.6,8.55
163,2017-05-12,11:30:00,0,917.7,8.57
164,2017-05-12,11:45:00,0,917.5,8.56
165,2017-05-12,12:00:00,0,917.5,8.57
166,2017-05-12,12:15:00,0,917.9,8.58
167,2017-05-12,12:30:00,0,916.8,8.55
168,2017-05-12,12:45:00,0,916.9,8.55
169,2017-05-12,13:00:00,0,917.2,8.56
170,2017-05-12,13:15:00,0,916.9,8.57
171,2017-05-12,13:30:00,0,917.2,8.58
172,2017-05-12,13:45:00,0,916.1,8.55
173,2017-05-12,14:00:00,0,916.0,8.57
174,2017-05-12,14:15:00,0,916.4,8.56
175,2017-05-12,14:30:00,0,915.7,8.55
176,2017-05-12,14:45:00,0,916.0,8.59
177,2017-05-12,15:00:00,0,915.2,8.58
178,2017-05-12,15:15:00,0,914.5,8.56
179,2017-05-12,15:30:00,0,914.9,8.56
180,2017-05-12,15:45:00,0,914.7,8.54
181,2017-05-12,16:00:00,0,914.4,8.57
182,2017-05-12,16:15:00,0,910.4,8.58
183,2017-05-12,16:30:00,0,912.3,8.54
184,2017-05-12,16:45:00,0,913.6,8.55
185,2017-05-12,17:00:00,0,914.4,8.56
186,2017-05-12,17:15:00,0,913.5,8.55
187,2017-05-12,17:30:00,0,914.0,8.58
188,2017-05-12,17:45:00,0,913.5,8.57
189,2017-05-12,18:00:00,0,913.3,8.57
190,2017-05-12,18:15:00,0,913.3,8.56
191,2017-05-12,18:30:00,0,913.9,8.55
192,2017-05-12,18:45:00,0,913.5,8.51
193,2017-05-12,19:00:00,0,913.3,8.56
194,2017-05-12,19:15:00,0,913.5,8.57
195,2017-05-12,19:30:00,0,914.4,8.56
196,2017-05-12,19:45:00,0,910.4,8.56
197,2017-05-12,20:00:00,0,913.1,8.58
198,2017-05-12,20:15:00,0,912.0,8.54
199,2017-05-12,20:30:00,0,912.1,8.56
200,2017-05-12,20:45:00,0,913.5,8.56
201,2017-05-12,21:00:00,0,914.0,8.58
202,2017-05-12,21:15:00,0,913.5,8.56
203,2017-05-12,21:30:00,0,913.3,8.59
204,2017-05-12,21:45:00,0,912.0,8.56
205,2017-05-12,22:00:00,0,913.7,8.55
206,2017-05-12,22:15:00,0,913.1,8.58
207,2017-05-12,22:30:00,0,913.2,8.56
208,2017-05-12,22:45:00,0,912.9,8.55
209,2017-05-12,23:00:00,0,913.7,8.56
210,2017-05-12,23:15:00,0,913.2,8.58
211,2017-05-12,23:30:00,0,913.2,8.56
212,2017-05-12,23:45:00,0,912.0,8.57
213,2017-05-13,00:00:00,0,913.1,8.58
214,2017-05-13,00:15:00,0,912.5,8.58
215,2017-05-13,00:30:00,0,911.9,8.59
216,2017-05-13,00:45:00,0,912.0,8.56
217,2017-05-13,01:00:00,0,912.4,8.56
218,2017-05-13,01:15:00,0,911.7,8.55
219,2017-05-13,01:30:00,0,911.6,8.55
220,2017-05-13,01:45:00,0,911.5,8.56
221,2017-05-13,02:00:00,0,911.7,8.58
222,2017-05-13,02:15:00,0,911.7,8.56
223,2017-05-13,02:30:00,0,911.6,8.58
224,2017-05-13,02:45:00,0,910.8,8.55
225,2017-05-13,03:00:00,0,912.0,8.55
226,2017-05-13,03:15:00,0,911.5,8.56
227,2017-05-13,03:30:00,0,910.5,8.53
228,2017-05-13,03:45:00,0,911.3,8.58
229,2017-05-13,04:00:00,0,911.2,8.56
230,2017-05-13,04:15:00,0,910.9,8.54
231,2017-05-13,04:30:00,0,910.7,8.52
232,2017-05-13,04:45:00,0,911.2,8.56
233,2017-05-13,05:00:00,0,910.5,8.56
234,2017-05-13,05:15:00,0,910.7,8.55
235,2017-05-13,05:30:00,0,910.4,8.57
236,2017-05-13,05:45:00,0,911.3,8.58
237,2017-05-13,06:00:00,0,911.3,8.58
238,2017-05-13,06:15:00,0,910.5,8.51
239,2017-05-13,06:30:00,0,911.3,8.56
240,2017-05-13,06:45:00,0,910.5,8.56
241,2017-05-13,07:00:00,0,911.2,8.56
242,2017-05-13,07:15:00,0,910.5,8.56
243,2017-05-13,07:30:00,0,910.4,8.54
244,2017-05-13,07:45:00,0,910.5,8.57
245,2017-05-13,08:00:00,0,906.4,8.53
246,2017-05-13,08:15:00,0,909.7,8.55
247,2017-05-13,08:30:00,0,910.5,8.58
248,2017-05-13,08:45:00,0,910.0,8.55
249,2017-05-13,09:00:00,0,909.7,8.52
250,2017-05-13,09:15:00,0,909.9,8.56
251,2017-05-13,09:30:00,0,910.5,8.54
252,2017-05-13,09:45:00,0,910.8,8.56
253,2017-05-13,10:00:00,0,910.0,8.56
254,2017-05-13,10:15:00,0,910.0,8.56
255,2017-05-13,10:30:00,0,910.1,8.54
256,2017-05-13,10:45:00,0,906.1,8.57
257,2017-05-13,11:00:00,0,907.9,8.54
258,2017-05-13,11:15:00,0,906.1,8.55
259,2017-05-13,11:30:00,0,906.5,8.54
260,2017-05-13,11:45:00,0,906.5,8.54
261,2017-05-13,12:00:00,0,906.8,8.52
262,2017-05-13,12:15:00,0,907.6,8.56
263,2017-05-13,12:30:00,0,907.6,8.55
264,2017-05-13,12:45:00,0,907.3,8.55
265,2017-05-13,13:00:00,0,907.1,8.55
266,2017-05-13,13:15:00,0,904.7,8.57
267,2017-05-13,13:30:00,0,906.1,8.55
268,2017-05-13,13:45:00,0,903.5,8.55
269,2017-05-13,14:00:00,0,905.9,8.55
270,2017-05-13,14:15:00,0,905.6,8.55
271,2017-05-13,14:30:00,0,905.9,8.56
272,2017-05-13,14:45:00,0,906.1,8.54
273,2017-05-13,15:00:00,0,906.8,8.56
274,2017-05-13,15:15:00,0,907.3,8.53
275,2017-05-13,15:30:00,0,907.2,8.52
276,2017-05-13,15:45:00,0,906.1,8.57
277,2017-05-13,16:00:00,0,906.1,8.55
278,2017-05-13,16:15:00,0,906.5,8.58
279,2017-05-13,16:30:00,0,905.9,8.55
280,2017-05-13,16:45:00,0,906.4,8.56
281,2017-05-13,17:00:00,0,906.1,8.56
282,2017-05-13,17:15:00,0,906.3,8.55
283,2017-05-13,17:30:00,0,906.1,8.55
284,2017-05-13,17:45:00,0,907.3,8.58
285,2017-05-13,18:00:00,0,906.0,8.55
286,2017-05-13,18:15:00,0,906.1,8.54
287,2017-05-13,18:30:00,0,907.3,8.56
288,2017-05-13,18:45:00,0,907.1,8.58
289,2017-05-13,19:00:00,0,907.7,8.55
290,2017-05-13,19:15:00,0,906.1,8.54
291,2017-05-13,19:30:00,0,906.1,8.55
292,2017-05-13,19:45:00,0,906.3,8.55
293,2017-05-13,20:00:00,0,906.7,8.52
294,2017-05-13,20:15:00,0,907.3,8.53
295,2017-05-13,20:30:00,0,907.3,8.54
296,2017-05-13,20:45:00,0,906.1,8.54
297,2017-05-13,21:00:00,0,906.3,8.54
298,2017-05-13,21:15:00,0,906.3,8.57
299,2017-05-13,21:30:00,0,907.3,8.53
300,2017-05-13,21:45:00,0,906.7,8.54
