Serial Number
	63544
Project ID
	03097102
Location
	03097102 (ST-RÉMI)
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		1000.00   cm
	Altitude
		53        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-05,19:00:00,0,490.8,10.07
2,2017-05-05,19:15:00,0,489.6,10.07
3,2017-05-05,19:30:00,0,490.0,10.08
4,2017-05-05,19:45:00,0,490.1,10.07
5,2017-05-05,20:00:00,0,490.9,10.08
6,2017-05-05,20:15:00,0,491.1,10.10
7,2017-05-05,20:30:00,0,491.7,10.09
8,2017-05-05,20:45:00,0,492.0,10.10
9,2017-05-05,21:00:00,0,492.7,10.10
10,2017-05-05,21:15:00,0,492.1,10.12
11,2017-05-05,21:30:00,0,491.5,10.08
12,2017-05-05,21:45:00,0,491.1,10.07
13,2017-05-05,22:00:00,0,490.9,10.09
14,2017-05-05,22:15:00,0,490.0,10.07
15,2017-05-05,22:30:00,0,488.9,10.07
16,2017-05-05,22:45:00,0,488.4,10.09
17,2017-05-05,23:00:00,0,487.5,10.09
18,2017-05-05,23:15:00,0,487.2,10.08
19,2017-05-05,23:30:00,0,485.9,10.09
20,2017-05-05,23:45:00,0,484.5,10.11
21,2017-05-06,00:00:00,0,483.9,10.07
22,2017-05-06,00:15:00,0,482.4,10.10
23,2017-05-06,00:30:00,0,481.9,10.09
24,2017-05-06,00:45:00,0,480.8,10.10
25,2017-05-06,01:00:00,0,479.7,10.09
26,2017-05-06,01:15:00,0,479.1,10.11
27,2017-05-06,01:30:00,0,478.7,10.10
28,2017-05-06,01:45:00,0,476.4,10.09
29,2017-05-06,02:00:00,0,475.9,10.10
30,2017-05-06,02:15:00,0,475.1,10.11
31,2017-05-06,02:30:00,0,473.7,10.10
32,2017-05-06,02:45:00,0,472.1,10.09
33,2017-05-06,03:00:00,0,472.5,10.10
34,2017-05-06,03:15:00,0,471.1,10.11
35,2017-05-06,03:30:00,0,470.3,10.11
36,2017-05-06,03:45:00,0,469.6,10.09
37,2017-05-06,04:00:00,0,468.7,10.11
38,2017-05-06,04:15:00,0,466.9,10.12
39,2017-05-06,04:30:00,0,466.9,10.11
40,2017-05-06,04:45:00,0,464.9,10.12
41,2017-05-06,05:00:00,0,465.1,10.11
42,2017-05-06,05:15:00,0,464.1,10.12
43,2017-05-06,05:30:00,0,463.1,10.11
44,2017-05-06,05:45:00,0,461.9,10.10
45,2017-05-06,06:00:00,0,461.2,10.11
46,2017-05-06,06:15:00,0,460.3,10.11
47,2017-05-06,06:30:00,0,459.9,10.11
48,2017-05-06,06:45:00,0,459.1,10.11
49,2017-05-06,07:00:00,0,458.4,10.08
50,2017-05-06,07:15:00,0,457.1,10.10
51,2017-05-06,07:30:00,0,455.7,10.10
52,2017-05-06,07:45:00,0,455.3,10.11
53,2017-05-06,08:00:00,0,454.1,10.11
54,2017-05-06,08:15:00,0,453.5,10.07
55,2017-05-06,08:30:00,0,452.8,10.10
56,2017-05-06,08:45:00,0,452.0,10.07
57,2017-05-06,09:00:00,0,451.7,10.08
58,2017-05-06,09:15:00,0,450.8,10.07
59,2017-05-06,09:30:00,0,450.0,10.09
60,2017-05-06,09:45:00,0,449.5,10.10
61,2017-05-06,10:00:00,0,448.5,10.09
62,2017-05-06,10:15:00,0,448.7,10.09
63,2017-05-06,10:30:00,0,448.1,10.10
64,2017-05-06,10:45:00,0,447.9,10.10
65,2017-05-06,11:00:00,0,448.0,10.09
66,2017-05-06,11:15:00,0,448.0,10.11
67,2017-05-06,11:30:00,0,448.3,10.13
68,2017-05-06,11:45:00,0,449.5,10.10
69,2017-05-06,12:00:00,0,449.9,10.10
70,2017-05-06,12:15:00,0,450.5,10.10
71,2017-05-06,12:30:00,0,451.9,10.10
72,2017-05-06,12:45:00,0,453.2,10.08
73,2017-05-06,13:00:00,0,454.1,10.09
74,2017-05-06,13:15:00,0,455.9,10.09
75,2017-05-06,13:30:00,0,456.5,10.09
76,2017-05-06,13:45:00,0,458.0,10.09
77,2017-05-06,14:00:00,0,459.6,10.10
78,2017-05-06,14:15:00,0,461.1,10.10
79,2017-05-06,14:30:00,0,463.1,10.11
80,2017-05-06,14:45:00,0,463.9,10.09
81,2017-05-06,15:00:00,0,465.2,10.09
82,2017-05-06,15:15:00,0,466.0,10.09
83,2017-05-06,15:30:00,0,467.7,10.09
84,2017-05-06,15:45:00,0,469.3,10.09
85,2017-05-06,16:00:00,0,470.1,10.10
86,2017-05-06,16:15:00,0,471.1,10.10
87,2017-05-06,16:30:00,0,472.7,10.10
88,2017-05-06,16:45:00,0,474.5,10.10
89,2017-05-06,17:00:00,0,475.7,10.11
90,2017-05-06,17:15:00,0,476.9,10.10
91,2017-05-06,17:30:00,0,478.3,10.11
92,2017-05-06,17:45:00,0,479.7,10.09
93,2017-05-06,18:00:00,0,480.4,10.11
94,2017-05-06,18:15:00,0,482.0,10.11
95,2017-05-06,18:30:00,0,483.5,10.11
96,2017-05-06,18:45:00,0,484.5,10.11
97,2017-05-06,19:00:00,0,486.3,10.11
98,2017-05-06,19:15:00,0,487.9,10.11
99,2017-05-06,19:30:00,0,489.2,10.10
100,2017-05-06,19:45:00,0,490.9,10.10
101,2017-05-06,20:00:00,0,491.9,10.11
102,2017-05-06,20:15:00,0,492.4,10.11
103,2017-05-06,20:30:00,0,492.9,10.11
104,2017-05-06,20:45:00,0,493.7,10.11
105,2017-05-06,21:00:00,0,493.6,10.10
106,2017-05-06,21:15:00,0,493.5,10.11
