Serial_number:
2000885
Project ID:
05080003
Location:
Pont-Rouge PR-3
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/10/13,13:00:00,0,2382.29,5.743
2017/10/13,19:00:00,0,2377.80,5.742
2017/10/14,01:00:00,0,2376.30,5.742
2017/10/14,07:00:00,0,2374.96,5.741
2017/10/14,13:00:00,0,2374.90,5.742
2017/10/14,19:00:00,0,2375.00,5.740
2017/10/15,01:00:00,0,2374.24,5.740
2017/10/15,07:00:00,0,2368.51,5.740
2017/10/15,13:00:00,0,2357.53,5.740
2017/10/15,19:00:00,0,2348.15,5.740
2017/10/16,01:00:00,0,2354.20,5.740
2017/10/16,07:00:00,0,2365.90,5.739
2017/10/16,13:00:00,0,2370.06,5.739
2017/10/16,19:00:00,0,2372.67,5.739
2017/10/17,01:00:00,0,2374.31,5.738
2017/10/17,07:00:00,0,2375.50,5.739
2017/10/17,13:00:00,0,2373.21,5.739
2017/10/17,19:00:00,0,2368.16,5.737
2017/10/18,01:00:00,0,2366.76,5.738
2017/10/18,07:00:00,0,2371.11,5.739
2017/10/18,13:00:00,0,2374.30,5.737
2017/10/18,19:00:00,0,2373.44,5.737
2017/10/19,01:00:00,0,2371.51,5.738
2017/10/19,07:00:00,0,2368.60,5.736
2017/10/19,13:00:00,0,2362.50,5.734
2017/10/19,19:00:00,0,2360.18,5.733
2017/10/20,01:00:00,0,2363.02,5.732
2017/10/20,07:00:00,0,2365.30,5.730
2017/10/20,13:00:00,0,2366.83,5.731
2017/10/20,19:00:00,0,2369.27,5.733
2017/10/21,01:00:00,0,2371.15,5.731
2017/10/21,07:00:00,0,2373.78,5.730
2017/10/21,13:00:00,0,2374.88,5.731
2017/10/21,19:00:00,0,2375.85,5.731
2017/10/22,01:00:00,0,2377.72,5.729
2017/10/22,07:00:00,0,2379.61,5.729
2017/10/22,13:00:00,0,2378.87,5.728
2017/10/22,19:00:00,0,2376.44,5.728
2017/10/23,01:00:00,0,2375.51,5.726
2017/10/23,07:00:00,0,2374.17,5.728
2017/10/23,13:00:00,0,2370.91,5.727
2017/10/23,19:00:00,0,1035.79,19.558
2017/10/24,01:00:00,0,1035.63,12.218
2017/10/24,07:00:00,0,1033.49,9.494
2017/10/24,13:00:00,0,1015.54,22.241
2017/10/24,19:00:00,0,1011.58,22.872
2017/10/25,01:00:00,0,1009.66,23.105
2017/10/25,07:00:00,0,1009.15,21.913
2017/10/25,13:00:00,0,1008.88,22.692
2017/10/25,19:00:00,0,1009.91,22.962
2017/10/26,01:00:00,0,1010.45,23.133
2017/10/26,07:00:00,0,1010.56,21.816
