Serial_number:
2071191
Project ID:

Location:

LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/04/24,19:00:00,0,1329.91,6.568
2017/04/24,19:15:00,0,1330.06,6.546
2017/04/24,19:30:00,0,1330.20,6.564
2017/04/24,19:45:00,0,1330.17,6.565
2017/04/24,20:00:00,0,1330.43,6.571
2017/04/24,20:15:00,0,1330.43,6.572
2017/04/24,20:30:00,0,1330.51,6.576
2017/04/24,20:45:00,0,1330.75,6.553
2017/04/24,21:00:00,0,1330.87,6.553
2017/04/24,21:15:00,0,1330.95,6.563
2017/04/24,21:30:00,0,1330.85,6.585
2017/04/24,21:45:00,0,1331.23,6.576
2017/04/24,22:00:00,0,1331.45,6.545
2017/04/24,22:15:00,0,1331.48,6.554
2017/04/24,22:30:00,0,1331.53,6.584
2017/04/24,22:45:00,0,1331.41,6.569
2017/04/24,23:00:00,0,1331.33,6.566
2017/04/24,23:15:00,0,1331.30,6.545
2017/04/24,23:30:00,0,1331.30,6.561
2017/04/24,23:45:00,0,1331.38,6.566
2017/04/25,00:00:00,0,1331.38,6.590
2017/04/25,00:15:00,0,1331.33,6.575
2017/04/25,00:30:00,0,1331.32,6.573
2017/04/25,00:45:00,0,1331.47,6.551
2017/04/25,01:00:00,0,1331.56,6.569
2017/04/25,01:15:00,0,1331.71,6.576
2017/04/25,01:30:00,0,1331.86,6.561
2017/04/25,01:45:00,0,1331.95,6.565
2017/04/25,02:00:00,0,1331.93,6.547
2017/04/25,02:15:00,0,1332.11,6.560
2017/04/25,02:30:00,0,1332.14,6.576
2017/04/25,02:45:00,0,1332.07,6.553
2017/04/25,03:00:00,0,1332.18,6.563
2017/04/25,03:15:00,0,1332.26,6.560
2017/04/25,03:30:00,0,1332.30,6.540
2017/04/25,03:45:00,0,1332.24,6.554
2017/04/25,04:00:00,0,1332.55,6.551
2017/04/25,04:15:00,0,1332.53,6.570
2017/04/25,04:30:00,0,1332.57,6.573
2017/04/25,04:45:00,0,1332.69,6.579
2017/04/25,05:00:00,0,1332.78,6.581
2017/04/25,05:15:00,0,1332.90,6.570
2017/04/25,05:30:00,0,1332.97,6.561
2017/04/25,05:45:00,0,1333.12,6.571
2017/04/25,06:00:00,0,1333.23,6.586
2017/04/25,06:15:00,0,1333.16,6.584
2017/04/25,06:30:00,0,1333.27,6.577
2017/04/25,06:45:00,0,1333.26,6.571
2017/04/25,07:00:00,0,1333.26,6.571
2017/04/25,07:15:00,0,1333.49,6.584
2017/04/25,07:30:00,0,1333.42,6.552
2017/04/25,07:45:00,0,1333.65,6.556
2017/04/25,08:00:00,0,1333.54,6.569
2017/04/25,08:15:00,0,1333.50,6.566
2017/04/25,08:30:00,0,1333.52,6.567
2017/04/25,08:45:00,0,1333.40,6.586
2017/04/25,09:00:00,0,1333.40,6.552
2017/04/25,09:15:00,0,1333.40,6.551
