Well Name,Sainte-Martine
Well ID,03097082
Latitude,45.25137
Longitude,-73.78149
Elevation,393.0
Nappe,Captive
Influenced,Non

Source,http://www.mddelcc.gouv.qc.ca/eau/piezo/

Time,Year,Month,Day,Water level (masl),Water temperature (degC)
30932.0,1984.0,9.0,7.0,31.09,0.0
30979.0,1984.0,10.0,24.0,31.04,0.0
31008.0,1984.0,11.0,22.0,30.85,0.0
31034.0,1984.0,12.0,18.0,31.13,0.0
31064.0,1985.0,1.0,17.0,31.25,0.0
31076.0,1985.0,1.0,29.0,31.13,0.0
31132.0,1985.0,3.0,26.0,31.54,0.0
31156.0,1985.0,4.0,19.0,31.52,0.0
31174.0,1985.0,5.0,7.0,31.4,0.0
31195.0,1985.0,5.0,28.0,31.25,0.0
31224.0,1985.0,6.0,26.0,31.36,0.0
31252.0,1985.0,7.0,24.0,30.54,0.0
31267.0,1985.0,8.0,8.0,29.78,0.0
31294.0,1985.0,9.0,4.0,30.04,0.0
31323.0,1985.0,10.0,3.0,30.16,0.0
31349.0,1985.0,10.0,29.0,31.16,0.0
31399.0,1985.0,12.0,18.0,31.29,0.0
31435.0,1986.0,1.0,23.0,31.55,0.0
31457.0,1986.0,2.0,14.0,31.27,0.0
31482.0,1986.0,3.0,11.0,31.22,0.0
31513.0,1986.0,4.0,11.0,31.68,0.0
31540.0,1986.0,5.0,8.0,31.27,0.0
31575.0,1986.0,6.0,12.0,31.3,0.0
31623.0,1986.0,7.0,30.0,30.81,0.0
31659.0,1986.0,9.0,4.0,30.94,0.0
31687.0,1986.0,10.0,2.0,31.64,0.0
31707.0,1986.0,10.0,22.0,31.21,0.0
31741.0,1986.0,11.0,25.0,31.42,0.0
31764.0,1986.0,12.0,18.0,31.51,0.0
31791.0,1987.0,1.0,14.0,31.25,0.0
31818.0,1987.0,2.0,10.0,31.2,0.0
31862.0,1987.0,3.0,26.0,32.23,0.0
31882.0,1987.0,4.0,15.0,31.71,0.0
31917.0,1987.0,5.0,20.0,31.16,0.0
31946.0,1987.0,6.0,18.0,31.4,0.0
31987.0,1987.0,7.0,29.0,29.94,0.0
32023.0,1987.0,9.0,3.0,29.49,0.0
32051.0,1987.0,10.0,1.0,30.57,0.0
32422.0,1988.0,10.0,6.0,30.38,0.0
32680.0,1989.0,6.0,21.0,31.49,0.0
32693.0,1989.0,7.0,4.0,31.26,0.0
32779.0,1989.0,9.0,28.0,29.53,0.0
33107.0,1990.0,8.0,22.0,30.21,0.0
33220.0,1990.0,12.0,13.0,31.69,0.0
33281.0,1991.0,2.0,12.0,31.86,0.0
33360.0,1991.0,5.0,2.0,31.88,0.0
33464.0,1991.0,8.0,14.0,29.9,0.0
37755.0,2003.0,5.0,14.0,31.97,9.06
37756.0,2003.0,5.0,15.0,31.96,9.11
37757.0,2003.0,5.0,16.0,31.98,9.25
37758.0,2003.0,5.0,17.0,31.92,9.27
37759.0,2003.0,5.0,18.0,31.91,9.24
37760.0,2003.0,5.0,19.0,31.9,9.23
37761.0,2003.0,5.0,20.0,31.87,9.26
37762.0,2003.0,5.0,21.0,31.81,9.23
37763.0,2003.0,5.0,22.0,31.72,9.27
37764.0,2003.0,5.0,23.0,31.69,9.24
37765.0,2003.0,5.0,24.0,31.69,9.24
37766.0,2003.0,5.0,25.0,31.7,9.24
37767.0,2003.0,5.0,26.0,31.72,9.23
37768.0,2003.0,5.0,27.0,31.8,9.24
37769.0,2003.0,5.0,28.0,31.91,9.23
37770.0,2003.0,5.0,29.0,31.99,9.24
37771.0,2003.0,5.0,30.0,32.0,9.26
37772.0,2003.0,5.0,31.0,31.95,9.23
37773.0,2003.0,6.0,1.0,31.9,9.21
37774.0,2003.0,6.0,2.0,31.87,9.23
37775.0,2003.0,6.0,3.0,31.86,9.24
37776.0,2003.0,6.0,4.0,31.83,9.24
37777.0,2003.0,6.0,5.0,31.81,9.25
37778.0,2003.0,6.0,6.0,31.72,9.25
37779.0,2003.0,6.0,7.0,31.61,9.24
37780.0,2003.0,6.0,8.0,31.6,9.24
37781.0,2003.0,6.0,9.0,31.62,9.23
37782.0,2003.0,6.0,10.0,31.56,9.26
37783.0,2003.0,6.0,11.0,31.39,9.24
37784.0,2003.0,6.0,12.0,31.33,9.24
37785.0,2003.0,6.0,13.0,31.2,9.23
37786.0,2003.0,6.0,14.0,31.13,9.24
37787.0,2003.0,6.0,15.0,31.37,9.24
37788.0,2003.0,6.0,16.0,31.79,9.26
37789.0,2003.0,6.0,17.0,31.75,9.25
37790.0,2003.0,6.0,18.0,31.51,9.26
37791.0,2003.0,6.0,19.0,31.54,9.25
37792.0,2003.0,6.0,20.0,31.36,9.26
37793.0,2003.0,6.0,21.0,31.1,9.26
37794.0,2003.0,6.0,22.0,31.23,9.25
37795.0,2003.0,6.0,23.0,31.38,9.25
37796.0,2003.0,6.0,24.0,31.15,9.26
37797.0,2003.0,6.0,25.0,31.15,9.25
37798.0,2003.0,6.0,26.0,30.97,9.26
37799.0,2003.0,6.0,27.0,30.94,9.25
37800.0,2003.0,6.0,28.0,31.06,9.22
37801.0,2003.0,6.0,29.0,31.16,9.24
37802.0,2003.0,6.0,30.0,31.24,9.25
37803.0,2003.0,7.0,1.0,31.23,9.27
37804.0,2003.0,7.0,2.0,30.87,9.25
37805.0,2003.0,7.0,3.0,30.68,9.25
37806.0,2003.0,7.0,4.0,30.46,9.26
37807.0,2003.0,7.0,5.0,30.24,9.25
37808.0,2003.0,7.0,6.0,30.0,9.26
37809.0,2003.0,7.0,7.0,29.84,9.24
37810.0,2003.0,7.0,8.0,29.6,9.25
37811.0,2003.0,7.0,9.0,29.33,9.26
37812.0,2003.0,7.0,10.0,29.25,9.26
37813.0,2003.0,7.0,11.0,29.24,9.25
37814.0,2003.0,7.0,12.0,29.28,9.24
37815.0,2003.0,7.0,13.0,29.28,9.27
37816.0,2003.0,7.0,14.0,29.39,9.25
37817.0,2003.0,7.0,15.0,29.43,9.28
37818.0,2003.0,7.0,16.0,29.27,9.25
37819.0,2003.0,7.0,17.0,29.36,9.27
37820.0,2003.0,7.0,18.0,29.28,9.27
37821.0,2003.0,7.0,19.0,29.41,9.25
37822.0,2003.0,7.0,20.0,29.41,9.25
37823.0,2003.0,7.0,21.0,29.48,9.25
37824.0,2003.0,7.0,22.0,29.49,9.25
37825.0,2003.0,7.0,23.0,29.65,9.29
37826.0,2003.0,7.0,24.0,29.45,9.28
37827.0,2003.0,7.0,25.0,29.68,9.28
37828.0,2003.0,7.0,26.0,29.84,9.27
37829.0,2003.0,7.0,27.0,30.05,9.27
37830.0,2003.0,7.0,28.0,30.15,9.27
37831.0,2003.0,7.0,29.0,30.03,9.25
37832.0,2003.0,7.0,30.0,29.89,9.28
37833.0,2003.0,7.0,31.0,29.86,9.26
37834.0,2003.0,8.0,1.0,29.91,9.29
37835.0,2003.0,8.0,2.0,29.92,9.27
37836.0,2003.0,8.0,3.0,29.54,9.25
37837.0,2003.0,8.0,4.0,29.34,9.28
37838.0,2003.0,8.0,5.0,29.27,9.27
37839.0,2003.0,8.0,6.0,29.29,9.28
37840.0,2003.0,8.0,7.0,29.41,9.28
37841.0,2003.0,8.0,8.0,29.68,9.3
37842.0,2003.0,8.0,9.0,29.65,9.27
37843.0,2003.0,8.0,10.0,29.56,9.28
37844.0,2003.0,8.0,11.0,29.73,9.26
37845.0,2003.0,8.0,12.0,29.73,9.27
37846.0,2003.0,8.0,13.0,29.55,9.28
37847.0,2003.0,8.0,14.0,29.45,9.28
37848.0,2003.0,8.0,15.0,29.58,9.26
37849.0,2003.0,8.0,16.0,29.73,9.27
37850.0,2003.0,8.0,17.0,29.67,9.28
37851.0,2003.0,8.0,18.0,29.67,9.29
37852.0,2003.0,8.0,19.0,29.54,9.28
37853.0,2003.0,8.0,20.0,29.56,9.28
37854.0,2003.0,8.0,21.0,29.29,9.28
37855.0,2003.0,8.0,22.0,29.13,9.3
37895.0,2003.0,10.0,1.0,29.12,9.27
37896.0,2003.0,10.0,2.0,29.16,9.28
37897.0,2003.0,10.0,3.0,29.32,9.27
37898.0,2003.0,10.0,4.0,29.56,9.27
37899.0,2003.0,10.0,5.0,29.84,9.26
37900.0,2003.0,10.0,6.0,30.11,9.25
37901.0,2003.0,10.0,7.0,30.27,9.27
37902.0,2003.0,10.0,8.0,30.38,9.27
37903.0,2003.0,10.0,9.0,30.47,9.26
37904.0,2003.0,10.0,10.0,30.53,9.27
37905.0,2003.0,10.0,11.0,30.54,9.24
37906.0,2003.0,10.0,12.0,30.63,9.27
37907.0,2003.0,10.0,13.0,30.77,9.26
37908.0,2003.0,10.0,14.0,30.83,9.25
37909.0,2003.0,10.0,15.0,30.85,9.26
37910.0,2003.0,10.0,16.0,30.85,9.26
37911.0,2003.0,10.0,17.0,30.76,9.26
37912.0,2003.0,10.0,18.0,30.76,9.27
37913.0,2003.0,10.0,19.0,30.84,9.27
37914.0,2003.0,10.0,20.0,30.93,9.26
37915.0,2003.0,10.0,21.0,30.98,9.26
37916.0,2003.0,10.0,22.0,31.03,9.25
37917.0,2003.0,10.0,23.0,31.21,9.25
37918.0,2003.0,10.0,24.0,31.22,9.25
37919.0,2003.0,10.0,25.0,31.15,9.25
37920.0,2003.0,10.0,26.0,31.2,9.26
37921.0,2003.0,10.0,27.0,31.35,9.23
37922.0,2003.0,10.0,28.0,31.49,9.25
37923.0,2003.0,10.0,29.0,31.71,9.25
37924.0,2003.0,10.0,30.0,31.9,8.88
37925.0,2003.0,10.0,31.0,31.97,8.89
37926.0,2003.0,11.0,1.0,31.99,8.92
37927.0,2003.0,11.0,2.0,31.92,8.97
37928.0,2003.0,11.0,3.0,31.83,9.01
37929.0,2003.0,11.0,4.0,31.79,9.01
37930.0,2003.0,11.0,5.0,31.72,9.05
37931.0,2003.0,11.0,6.0,31.74,9.06
37932.0,2003.0,11.0,7.0,31.74,9.1
37933.0,2003.0,11.0,8.0,31.78,9.09
37934.0,2003.0,11.0,9.0,31.71,9.1
37935.0,2003.0,11.0,10.0,31.66,9.11
37936.0,2003.0,11.0,11.0,31.65,9.11
37937.0,2003.0,11.0,12.0,31.66,9.12
37938.0,2003.0,11.0,13.0,31.61,9.13
37939.0,2003.0,11.0,14.0,31.69,9.12
37940.0,2003.0,11.0,15.0,31.64,9.12
37941.0,2003.0,11.0,16.0,31.62,9.1
37942.0,2003.0,11.0,17.0,31.59,9.11
37943.0,2003.0,11.0,18.0,31.57,9.11
37944.0,2003.0,11.0,19.0,31.56,9.12
37945.0,2003.0,11.0,20.0,31.65,9.12
37946.0,2003.0,11.0,21.0,31.68,9.1
37947.0,2003.0,11.0,22.0,31.82,9.1
37948.0,2003.0,11.0,23.0,31.83,9.11
37949.0,2003.0,11.0,24.0,31.82,9.12
37950.0,2003.0,11.0,25.0,31.83,9.12
37951.0,2003.0,11.0,26.0,31.74,9.12
37952.0,2003.0,11.0,27.0,31.7,9.1
37953.0,2003.0,11.0,28.0,31.65,9.11
37954.0,2003.0,11.0,29.0,31.7,9.09
37955.0,2003.0,11.0,30.0,31.85,9.1
37956.0,2003.0,12.0,1.0,31.95,9.09
37957.0,2003.0,12.0,2.0,31.99,9.1
37958.0,2003.0,12.0,3.0,31.93,9.1
37959.0,2003.0,12.0,4.0,31.85,9.09
37960.0,2003.0,12.0,5.0,31.8,9.11
37961.0,2003.0,12.0,6.0,31.75,9.11
37962.0,2003.0,12.0,7.0,31.72,9.12
37963.0,2003.0,12.0,8.0,31.69,9.2
37964.0,2003.0,12.0,9.0,31.64,9.22
37965.0,2003.0,12.0,10.0,31.59,9.17
37966.0,2003.0,12.0,11.0,31.59,9.19
37967.0,2003.0,12.0,12.0,31.66,9.2
37968.0,2003.0,12.0,13.0,31.8,9.19
37969.0,2003.0,12.0,14.0,31.88,9.17
37970.0,2003.0,12.0,15.0,31.92,9.19
37971.0,2003.0,12.0,16.0,31.94,9.2
37972.0,2003.0,12.0,17.0,31.88,9.16
37973.0,2003.0,12.0,18.0,31.86,9.17
37974.0,2003.0,12.0,19.0,31.84,9.17
37975.0,2003.0,12.0,20.0,31.73,9.17
37976.0,2003.0,12.0,21.0,31.65,9.15
37977.0,2003.0,12.0,22.0,31.64,9.16
37978.0,2003.0,12.0,23.0,31.62,9.17
37979.0,2003.0,12.0,24.0,31.59,9.16
37980.0,2003.0,12.0,25.0,31.63,9.16
37981.0,2003.0,12.0,26.0,31.68,9.14
37982.0,2003.0,12.0,27.0,31.84,9.16
37983.0,2003.0,12.0,28.0,31.86,9.15
37984.0,2003.0,12.0,29.0,31.87,9.15
37985.0,2003.0,12.0,30.0,31.87,9.15
37986.0,2003.0,12.0,31.0,31.88,9.17
37987.0,2004.0,1.0,1.0,31.88,9.15
37988.0,2004.0,1.0,2.0,31.86,9.14
37989.0,2004.0,1.0,3.0,31.88,9.17
37990.0,2004.0,1.0,4.0,31.9,9.16
37991.0,2004.0,1.0,5.0,31.84,9.13
37992.0,2004.0,1.0,6.0,31.87,9.14
37993.0,2004.0,1.0,7.0,31.87,9.16
37994.0,2004.0,1.0,8.0,31.86,9.14
37995.0,2004.0,1.0,9.0,31.81,9.13
37996.0,2004.0,1.0,10.0,31.76,9.13
37997.0,2004.0,1.0,11.0,31.73,9.13
37998.0,2004.0,1.0,12.0,31.74,9.13
37999.0,2004.0,1.0,13.0,31.7,9.12
38000.0,2004.0,1.0,14.0,31.68,9.13
38001.0,2004.0,1.0,15.0,31.63,9.09
38002.0,2004.0,1.0,16.0,31.61,9.13
38003.0,2004.0,1.0,17.0,31.59,9.11
38004.0,2004.0,1.0,18.0,31.54,9.08
38005.0,2004.0,1.0,19.0,31.58,9.1
38006.0,2004.0,1.0,20.0,31.54,9.09
38007.0,2004.0,1.0,21.0,31.49,9.1
38008.0,2004.0,1.0,22.0,31.46,9.09
38009.0,2004.0,1.0,23.0,31.5,9.08
38010.0,2004.0,1.0,24.0,31.46,9.09
38011.0,2004.0,1.0,25.0,31.44,9.09
38012.0,2004.0,1.0,26.0,31.4,9.09
38013.0,2004.0,1.0,27.0,31.38,9.08
38237.0,2004.0,9.0,7.0,28.09,8.81
38238.0,2004.0,9.0,8.0,28.04,8.8
38239.0,2004.0,9.0,9.0,28.05,8.88
38240.0,2004.0,9.0,10.0,28.22,8.86
38241.0,2004.0,9.0,11.0,28.53,8.89
38242.0,2004.0,9.0,12.0,28.44,8.9
38243.0,2004.0,9.0,13.0,28.35,8.9
38244.0,2004.0,9.0,14.0,28.26,8.89
38245.0,2004.0,9.0,15.0,28.23,8.89
38246.0,2004.0,9.0,16.0,28.2,8.86
38247.0,2004.0,9.0,17.0,28.16,8.86
38248.0,2004.0,9.0,18.0,28.13,8.84
38249.0,2004.0,9.0,19.0,28.09,8.84
38250.0,2004.0,9.0,20.0,28.1,8.85
38251.0,2004.0,9.0,21.0,28.1,8.82
38252.0,2004.0,9.0,22.0,28.1,8.84
38253.0,2004.0,9.0,23.0,28.08,8.82
38254.0,2004.0,9.0,24.0,28.12,8.8
38255.0,2004.0,9.0,25.0,28.32,8.8
38256.0,2004.0,9.0,26.0,28.31,8.79
