#,Well_ID,Well_Name,Latitude_ddeg,Longitude_ddeg,Elevation,Nappe,Influenced
0,01030001,Chandler,48.35136,-64.71598,8.0,Captive,Non
1,01070001,Paspébiac,48.0775,-65.24964,63.0,Libre,Non
2,01070002,Paspébiac,48.0775,-65.24964,63.0,Captive,Oui
3,01120001,Nouvelle,48.142962,-66.320607,40.31,Libre,Non
4,01160001,Lac-Huron,48.0867,-68.21481,400.0,Libre,Non
5,01160002,Matapédia,47.97504,-66.93918,26.0,Semi-captive,Non
6,01300001,Saint-Magloire,46.57958,-70.27906,471.0,Semi-captive,Non
7,01370001,Saint-Pamphile,46.95366,-69.78462,370.65,Captive,Non
8,02000001,Saint-Fabien,48.34164,-68.80647,70.0,ND,Non
9,02000002,Sainte-Luce,48.51604,-68.37383,34.0,Libre,Non
10,02000003,Percé,48.60466,-64.32479,8.89,Libre,Non
11,02000004,Sainte-Marie-de-Blandford,46.35115,-72.20226,83.51,Libre,Non
12,02000005,Sainte-Marie-de-Blandford,46.35122,-72.20222,83.66,Captive,Non
13,02000006,Bécancour,46.32599,-72.46857,8.0,Semi-captive,Non
14,02000007,Saint-Jean-Port-Joli,47.264628,-70.224451,31.13,Semi-captive,Non
15,02000008,Berthier-sur-Mer,46.9352,-70.71217,5.0,Libre,Non
16,02000009,Notre-Dame-des-Neiges,48.16618,-69.12955,5.0,Libre,Non
17,02000010,Baie-des-Sables,48.73911,-67.86186,2.0,Libre,Non
18,02000011,Sainte-Luce,48.529383,-68.336818,54.95,Captive,Non
19,02000012,Gaspé,48.81554,-64.444939,91.28,Libre,Non
20,02120001,Marsoui,49.20514,-66.06013,61.0,Libre,Non
21,02140001,Mont-Albert,48.94471,-66.11632,249.0,Semi-captive,Non
22,02150001,Cap-Chat,49.08858,-66.6684,6.0,ND,Non
23,02160001,Saint-René-de-Matane,48.70738,-67.38599,49.58,Semi-captive,Non
24,02167001,Matane,48.81151,-67.53562,14.0,Captive,Oui
25,02180001,Padoue,48.579532,-67.984275,222.13,Libre,Non
26,02190001,Sainte-Jeanne-d'Arc,48.46259,-68.01944,114.0,Libre,Non
27,02190002,Sainte-Angèle-de-Mérici,48.52893,-68.12433,69.0,Captive,Non
28,02200001,Saint-Narcisse-de-Rimouski,48.20282,-68.52795,168.0,Libre,Non
29,02247021,Saint-Arsène,47.928757,-69.396436,81.48,Captive,Non
30,02257001,Saint-Antonin,47.768884,-69.433189,168.5,Libre,Non
31,02270001,Tourville,47.10219,-69.95411,296.0,Libre,Non
32,02300001,Saint-Charles-de-Bellechasse,46.808603,-70.913892,67.45,Libre,Non
33,02310001,Saint-Raphaël,46.79826,-70.745214,144.7,Libre,Non
34,02310002,Armagh,46.690522,-70.556549,320.75,Captive,Non
35,02310003,Armagh,46.69033,-70.55736,312.7,Libre,Non
36,02330001,Frampton,46.45592,-70.81171,370.0,Captive,Non
37,02330002,Saint-Luc-de-Bellechasse,46.51622,-70.49494,563.0,Libre,Non
38,02330003,Saint-Anselme,46.616607,-70.947187,172.09,Libre,Non
39,02340001,Saint-Agapit,46.568738,-71.432207,123.23,Libre,Non
40,02340002,Saint-Martin,45.96244,-70.63992,307.0,Captive,Oui
41,02340003,Saint-Zacharie,46.15309,-70.35608,452.0,Captive,Non
42,02340004,Saint-Théophile,45.94533,-70.45747,314.0,Captive,Non
43,02340005,Sainte-Justine,46.40819,-70.37099,401.0,Captive,Non
